Model,Week,CV_AUROC_Mean,CV_AUROC_Std,Folds
logistic_regression,2,0.6958589888044268,0.0037075448975272623,5
random_forest,2,0.6721389748985871,0.004144608906663912,5
gradient_boosting,2,0.7130138754097806,0.0057247846603431475,5
xgboost,2,0.6799153647163965,0.004443995199241839,5
lightgbm,2,0.7069084170555655,0.004164058294388835,5
logistic_regression,4,0.7641752976850655,0.004927749859917677,5
random_forest,4,0.7621041491627991,0.006559512774888521,5
gradient_boosting,4,0.7880742163805924,0.007278626790292325,5
xgboost,4,0.7631846029725097,0.008415859760279223,5
lightgbm,4,0.7831468268452533,0.00758999428084785,5
logistic_regression,6,0.7878805064730221,0.007136494520421907,5
random_forest,6,0.7898631339353319,0.005143520072986051,5
gradient_boosting,6,0.8121715221207438,0.005388716385193115,5
xgboost,6,0.7917407175380801,0.006157920607715637,5
lightgbm,6,0.8088928564082896,0.005930880155017273,5
logistic_regression,8,0.8154320034134278,0.007172195769097207,5
random_forest,8,0.8308645900010199,0.0057079033426494456,5
gradient_boosting,8,0.8436387287919042,0.006774554658575302,5
xgboost,8,0.8253633926455877,0.004402710976239577,5
lightgbm,8,0.84229335302919,0.006115503924426432,5
