id_student,total_clicks,avg_daily_clicks,std_clicks,active_days,interactions,assess_mean,assess_max,assess_count,Week,Days
6516,826,5.506666666666667,6.5052860969813935,28,150,60.0,60.0,1.0,4,28
8462,385,2.730496453900709,2.8806731173314177,20,141,86.5,93.0,4.0,4,28
11391,401,6.683333333333334,11.636429743488389,8,60,78.0,78.0,1.0,4,28
23629,53,2.5238095238095237,2.0644381225662256,6,21,67.0,67.0,1.0,4,28
23698,365,3.1196581196581197,9.39383729859396,30,117,78.0,78.0,1.0,4,28
23798,140,2.2580645161290325,1.6289942977183625,11,62,90.0,90.0,1.0,4,28
24186,18,1.6363636363636365,1.5015143870590968,3,11,0.0,0.0,0.0,4,28
24213,498,3.276315789473684,3.273812141731973,24,152,78.0,78.0,1.0,4,28
24391,67,2.576923076923077,2.4028828839221763,7,26,0.0,0.0,0.0,4,28
24734,107,2.3260869565217392,1.8385301837921988,9,46,41.0,41.0,1.0,4,28
25107,84,2.896551724137931,4.038606792891109,7,29,59.0,59.0,1.0,4,28
25150,266,3.643835616438356,6.221311631565099,19,73,0.0,0.0,0.0,4,28
25261,739,3.299107142857143,4.081545375485376,28,224,78.0,78.0,1.0,4,28
25572,67,1.9142857142857144,1.2688908674954853,13,35,80.0,80.0,1.0,4,28
25629,16,2.2857142857142856,1.1126972805283737,3,7,0.0,0.0,0.0,4,28
26023,111,2.22,1.7413342292504286,15,50,0.0,0.0,0.0,4,28
26192,774,3.7756097560975608,4.0618249356351495,28,205,87.0,87.0,1.0,4,28
26211,2328,5.038961038961039,8.567620361448958,41,462,84.0,84.0,1.0,4,28
26247,478,3.22972972972973,4.049178290025798,18,148,88.0,88.0,1.0,4,28
26315,369,3.049586776859504,4.772929288653913,18,121,1.0,1.0,1.0,4,28
26734,102,2.125,2.3576493883310707,10,48,100.0,100.0,1.0,4,28
26915,60,2.0,1.4383899044561521,6,30,0.0,0.0,0.0,4,28
27116,369,3.0,5.889696476913215,22,123,89.0,89.0,1.0,4,28
27189,229,3.7540983606557377,4.951954959760566,5,61,52.0,52.0,1.0,4,28
27417,65,2.6,2.886751345948129,6,25,80.0,80.0,1.0,4,28
27683,176,2.2,2.2012654588334333,13,80,64.0,64.0,1.0,4,28
27759,123,1.8088235294117647,2.3067542160294083,12,68,61.0,61.0,1.0,4,28
27780,131,4.225806451612903,12.14827745654874,7,31,0.0,0.0,0.0,4,28
27891,212,3.072463768115942,3.6715073061895485,10,69,69.71428571428571,100.0,7.0,4,28
27935,324,2.722689075630252,2.7889745693120758,14,119,75.0,75.0,1.0,4,28
28046,127,2.54,2.296492445234778,9,50,58.0,58.0,1.0,4,28
28061,575,2.832512315270936,2.8513549139215577,33,203,78.0,78.0,1.0,4,28
28400,618,3.8625,3.9085255950350417,19,160,70.0,70.0,1.0,4,28
28418,156,2.3636363636363638,3.5415614272037335,8,66,30.0,30.0,1.0,4,28
28787,128,2.064516129032258,2.373839442013065,12,62,89.0,89.0,1.0,4,28
28808,184,2.164705882352941,2.329147906851086,13,85,80.0,80.0,1.0,4,28
28897,714,4.033898305084746,7.834871282435127,22,177,86.0,86.0,1.0,4,28
28952,95,2.5675675675675675,5.145335214976228,6,37,67.0,67.0,1.0,4,28
29144,212,2.5238095238095237,2.999904377898521,10,84,60.0,60.0,1.0,4,28
29335,1475,4.538461538461538,7.942845455007122,31,325,90.33333333333333,94.0,3.0,4,28
29411,376,2.506666666666667,4.507632106059613,27,150,37.5,75.0,2.0,4,28
29420,156,2.557377049180328,5.411483438528153,12,61,100.0,100.0,1.0,4,28
29639,2471,5.169456066945607,11.30937849979056,47,478,76.5,86.0,2.0,4,28
29764,303,4.522388059701493,10.569192235634409,15,67,90.0,90.0,1.0,4,28
