Week,Model,AUROC
2,GB,0.7580189644056965
2,LightGBM,0.747674343669612
2,LogReg,0.7385716734664143
2,RF,0.7411142874682142
2,XGBoost,0.7315296872217981
4,GB,0.8106487313244104
4,LightGBM,0.804101460165801
4,LogReg,0.7913620671504442
4,RF,0.7986915743096974
4,XGBoost,0.7868602623627654
6,GB,0.8306491691256407
6,LightGBM,0.8272569797030117
6,LogReg,0.8122404338944175
6,RF,0.8233933243336876
6,XGBoost,0.809860585136249
8,GB,0.8613467245321742
8,LightGBM,0.8596714810996596
8,LogReg,0.8369514292027971
8,RF,0.853989749136712
8,XGBoost,0.8400547373432636
