id_student,code_module,code_presentation,vle_total,vle_mean,vle_std,assess_mean,assess_max,assess_count,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,target
8462,DDD,2013J,517,2.35,2.530228209968529,88.0,93.0,2.0,M,London Region,HE Qualification,30-40%,55<=,0,90,N,Withdrawn,1
11391,AAA,2013J,529,5.877777777777778,10.05359545252822,81.5,85.0,2.0,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,0
23629,BBB,2013B,84,2.4,1.866106358484551,67.0,67.0,1.0,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,1
23798,BBB,2013J,206,2.1020408163265305,1.5229501749664216,93.33333333333333,100.0,3.0,M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,0
24186,GGG,2014B,27,1.588235294117647,1.2776356840572631,0.0,0.0,0.0,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,30,Y,Pass,0
24213,DDD,2014B,695,3.1026785714285716,3.2933132367864077,84.5,91.0,2.0,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1,60,N,Pass,0
24391,GGG,2013J,92,2.4210526315789473,2.355345604380378,0.0,0.0,0.0,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction,0
25107,BBB,2013B,177,2.36,2.8362518090473428,59.5,60.0,2.0,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,0
25150,EEE,2014B,426,4.4375,9.826722428369012,97.0,97.0,1.0,M,North Western Region,HE Qualification,90-100%,0-35,0,60,N,Pass,0
25629,BBB,2014B,16,2.2857142857142856,1.1126972805283737,0.0,0.0,0.0,F,Scotland,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn,1
25997,BBB,2014B,13,1.8571428571428572,2.2677868380553634,86.5,100.0,2.0,F,London Region,A Level or Equivalent,20-30%,0-35,2,60,N,Withdrawn,1
26023,GGG,2013J,135,2.3275862068965516,2.003400013787813,0.0,0.0,0.0,M,North Western Region,Lower Than A Level,10-20,35-55,0,30,N,Pass,0
26211,FFF,2014B,4787,6.27391874180865,13.853931995508374,91.25,99.0,4.0,F,London Region,HE Qualification,20-30%,35-55,0,90,N,Pass,0
26247,FFF,2013J,478,3.22972972972973,4.049178290025798,88.0,88.0,1.0,M,South East Region,HE Qualification,80-90%,35-55,2,60,N,Fail,1
26915,EEE,2013J,61,1.967741935483871,1.4255728899344742,0.0,0.0,0.0,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Fail,1
27189,FFF,2014B,406,3.5,4.344912066954315,50.0,52.0,2.0,F,South Region,Lower Than A Level,10-20,35-55,0,120,N,Fail,1
27417,DDD,2013J,295,3.4302325581395348,3.824197563424773,48.0,48.0,1.0,M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,1
27683,FFF,2014B,349,2.6240601503759398,3.965001249110198,71.0,78.0,2.0,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Pass,0
27759,BBB,2013J,165,1.9879518072289157,2.3812989686591095,68.66666666666667,80.0,3.0,M,North Western Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail,1
27780,EEE,2014B,196,3.69811320754717,9.418853649136965,65.0,65.0,1.0,M,Wales,A Level or Equivalent,10-20,0-35,0,150,N,Pass,0
27891,BBB,2013B,245,2.8488372093023258,3.390358099637212,70.0,73.0,2.0,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn,1
27891,BBB,2014B,25,3.125,1.8850918886280927,69.16666666666667,100.0,6.0,M,Scotland,Lower Than A Level,0-10%,0-35,4,120,Y,Fail,1
27935,DDD,2013J,599,2.4448979591836735,2.527314814970867,74.0,75.0,2.0,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail,1
28046,DDD,2013J,258,2.8351648351648353,2.6173087800840866,57.5,58.0,2.0,F,Yorkshire Region,HE Qualification,10-20,35-55,0,70,N,Fail,1
28400,AAA,2013J,669,3.716666666666667,3.777728027568863,69.0,70.0,2.0,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,0
28418,CCC,2014B,161,2.267605633802817,3.4307756160914704,30.0,30.0,1.0,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,1
28808,FFF,2014B,221,2.145631067961165,2.276942252104229,70.0,80.0,2.0,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,1
28897,FFF,2014B,1123,4.36964980544747,9.17407251538322,85.0,86.0,2.0,M,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Distinction,0
29144,BBB,2013B,617,2.4879032258064515,3.132669509827571,57.5,60.0,2.0,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,1
29335,FFF,2013J,2366,4.455743879472693,7.544048007656479,90.0,94.0,5.0,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,0
29411,DDD,2013J,216,2.1386138613861387,2.3325081048960885,77.0,79.0,2.0,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,0
29639,EEE,2014B,1170,3.5454545454545454,4.625099417913866,86.0,86.0,1.0,M,North Region,Lower Than A Level,Unknown,0-35,0,30,N,Pass,0
29764,CCC,2014B,430,4.174757281553398,10.54907038415812,91.0,92.0,2.0,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,90,N,Distinction,0
29769,FFF,2013J,635,3.190954773869347,4.545362671017086,76.0,88.0,2.0,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,60,N,Fail,1
29820,CCC,2014B,368,1.9267015706806283,1.9907335622162903,80.0,100.0,2.0,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass,0
29820,EEE,2014B,477,2.3155339805825244,4.205971533753186,99.0,99.0,1.0,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass,0
29985,GGG,2014B,71,1.6904761904761905,1.3878935651554003,75.0,75.0,1.0,F,South Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,0
30091,BBB,2013J,317,3.602272727272727,5.073119996558089,84.0,100.0,3.0,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass,0
30268,AAA,2013J,281,3.6973684210526314,4.056335741666708,0.0,0.0,0.0,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1
30531,FFF,2014B,1344,4.349514563106796,9.044308755647503,87.66666666666667,92.0,3.0,M,East Anglian Region,Lower Than A Level,50-60%,0-35,1,180,N,Fail,1
30549,DDD,2013J,111,2.22,2.8377196939134928,35.0,35.0,1.0,M,South East Region,A Level or Equivalent,0-10%,35-55,2,60,N,Fail,1
31014,BBB,2013J,476,3.1315789473684212,3.684016327103043,89.33333333333333,100.0,3.0,F,West Midlands Region,Lower Than A Level,80-90%,35-55,0,120,N,Withdrawn,1
31107,GGG,2014B,916,4.8465608465608465,3.95355365634074,76.0,76.0,1.0,M,South West Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass,0
31173,DDD,2013J,204,2.55,3.161877346519055,73.0,92.0,2.0,M,North Western Region,A Level or Equivalent,40-50%,35-55,1,60,N,Fail,1
31269,DDD,2013J,300,2.158273381294964,2.651931188053409,0.0,0.0,0.0,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,N,Withdrawn,1
31269,DDD,2014B,525,2.5485436893203883,2.866981554643716,56.0,67.0,2.0,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,1,120,N,Withdrawn,1
31604,AAA,2013J,804,3.2816326530612243,3.290303281488701,71.5,72.0,2.0,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0
31663,BBB,2013B,2054,3.6035087719298247,4.327212495732902,84.0,88.0,2.0,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0
31849,BBB,2013J,597,3.511764705882353,3.1552309066828372,83.66666666666667,100.0,3.0,F,South West Region,Lower Than A Level,60-70%,35-55,0,120,N,Pass,0
32221,FFF,2013J,685,3.8268156424581004,5.730674061239081,92.0,94.0,2.0,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,1
32239,GGG,2013J,94,2.35,1.687814548082208,55.0,55.0,1.0,F,London Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass,0
32885,AAA,2013J,601,3.828025477707006,3.9713369575139246,69.0,69.0,1.0,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0
33387,DDD,2013J,189,2.625,2.74471322804867,60.0,65.0,2.0,M,Scotland,HE Qualification,10-20,0-35,1,120,N,Withdrawn,1
33600,FFF,2013J,481,3.536764705882353,6.0771680639554395,84.0,84.0,1.0,F,London Region,A Level or Equivalent,40-50%,35-55,0,150,N,Withdrawn,1
33666,BBB,2013B,967,4.476851851851852,5.017126138959346,68.0,78.0,2.0,F,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn,1
33681,DDD,2013J,299,2.2313432835820897,2.752754407614083,83.5,94.0,2.0,M,South East Region,A Level or Equivalent,50-60%,35-55,2,60,Y,Withdrawn,1
33897,DDD,2013J,322,4.666666666666667,5.761603807220047,50.0,50.0,1.0,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,1
33915,FFF,2013B,1180,3.6196319018404908,6.4528668299931065,91.0,94.0,3.0,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,0
33930,DDD,2013J,239,2.414141414141414,2.587292734516853,80.5,83.0,2.0,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,0
34087,DDD,2013J,212,2.25531914893617,1.9506611518423174,85.5,88.0,2.0,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,Y,Withdrawn,1
34229,BBB,2013B,300,2.6315789473684212,2.8041156790510207,73.0,73.0,1.0,F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,Pass,0
34293,FFF,2014B,753,5.229166666666667,10.763002382222181,74.0,76.0,2.0,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn,1
34353,BBB,2013B,260,2.795698924731183,3.5032877098425157,84.0,95.0,2.0,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Fail,1
34431,BBB,2013B,191,2.984375,3.041992807041995,0.0,0.0,0.0,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,1
34653,DDD,2013J,156,2.260869565217391,2.417170039000661,50.0,50.0,1.0,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,1
34731,FFF,2013J,658,3.29,5.769953362813707,75.66666666666667,79.0,3.0,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,1
34756,BBB,2013B,124,1.8507462686567164,1.6445846057755884,61.0,71.0,2.0,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn,1
34863,BBB,2013B,117,2.4375,2.4659920967587454,52.0,64.0,2.0,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,0
35001,GGG,2013J,34,1.619047619047619,0.9206622874969125,0.0,0.0,0.0,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail,1
35340,EEE,2014B,672,3.8620689655172415,5.623387195979832,93.0,93.0,1.0,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,0
35355,EEE,2013J,758,3.5754716981132075,5.450245636809857,86.0,86.0,1.0,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Pass,0
35502,DDD,2014B,545,1.8858131487889274,2.196297258005153,66.0,66.0,1.0,M,West Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,1
35508,EEE,2014B,940,3.657587548638132,4.651892971666947,99.0,99.0,1.0,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Distinction,0
35544,FFF,2013B,504,3.4285714285714284,5.665323504528131,90.33333333333333,99.0,3.0,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0
35812,BBB,2013B,19,1.7272727272727273,1.5550504230351563,71.0,71.0,1.0,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,1
35860,FFF,2013B,707,3.4154589371980677,7.349219141996793,85.25,89.0,4.0,M,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,0
36347,FFF,2014B,441,3.291044776119403,4.147332917527491,75.0,84.0,2.0,M,North Western Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,0
36385,FFF,2013B,1182,4.251798561151079,8.568343655514006,72.25,84.0,4.0,M,West Midlands Region,Lower Than A Level,70-80%,0-35,0,120,Y,Withdrawn,1
37298,FFF,2013B,320,2.318840579710145,3.7727132238337684,83.0,92.0,2.0,M,Ireland,HE Qualification,Unknown,0-35,0,120,N,Pass,0
37622,BBB,2013J,143,3.4047619047619047,3.73552179924836,72.5,75.0,2.0,F,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass,0
38053,AAA,2013J,975,3.62453531598513,3.5074962723326206,79.0,79.0,1.0,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0
38234,BBB,2013J,46,1.84,1.841195263952197,75.66666666666667,80.0,3.0,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,1
39411,DDD,2013J,164,2.8275862068965516,2.5897092638721744,70.0,70.0,1.0,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,1
39427,DDD,2013J,93,1.690909090909091,1.1200649331826502,84.0,84.0,1.0,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,1
39655,BBB,2013B,162,2.6557377049180326,2.804075878084373,74.0,78.0,2.0,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Distinction,0
39660,DDD,2014B,435,2.289473684210526,1.998781305108946,85.0,85.0,2.0,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail,1
39882,FFF,2014B,554,3.9014084507042255,8.19730959077552,84.0,90.0,3.0,F,Scotland,A Level or Equivalent,80-90%,0-35,1,120,N,Pass,0
40184,DDD,2013J,615,2.2282608695652173,1.7462891203061435,90.0,95.0,2.0,M,Wales,HE Qualification,30-40%,55<=,0,60,N,Distinction,0
40333,CCC,2014B,174,2.4166666666666665,2.4422916968278723,0.0,0.0,0.0,M,North Region,HE Qualification,0-10%,35-55,0,30,N,Withdrawn,1
40419,DDD,2013B,139,2.43859649122807,2.4496176367784503,71.5,76.0,2.0,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn,1
40419,DDD,2013J,155,2.9245283018867925,3.740881511724278,76.5,82.0,2.0,M,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,N,Pass,0
40508,EEE,2013J,91,3.1379310344827585,3.43016178222205,0.0,0.0,0.0,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,0,90,N,Withdrawn,1
40563,DDD,2013J,356,2.0,1.8866165571992377,89.0,94.0,2.0,F,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,0
40604,CCC,2014B,288,2.2325581395348837,5.44935722687057,80.0,90.0,2.0,M,Ireland,A Level or Equivalent,Unknown,35-55,0,30,N,Pass,0
41060,DDD,2013B,181,2.0804597701149423,1.672057573871032,85.5,94.0,4.0,M,Ireland,HE Qualification,70-80%,0-35,0,60,N,Fail,1
41414,GGG,2014B,211,2.1313131313131315,2.141172979345403,0.0,0.0,0.0,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,Y,Pass,0
41489,FFF,2014B,53,1.8928571428571428,1.7499055152119818,0.0,0.0,0.0,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,1
42616,FFF,2013J,1493,3.650366748166259,4.805277543194242,75.0,76.0,2.0,F,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Pass,0
42638,CCC,2014B,1235,2.9058823529411764,4.334002054323606,67.0,84.0,2.0,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass,0
42638,EEE,2013J,2037,4.792941176470588,6.801043694795142,83.0,83.0,1.0,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass,0
42668,FFF,2013B,793,3.1847389558232932,5.834236415206075,77.33333333333333,84.0,3.0,M,London Region,Lower Than A Level,10-20,35-55,1,120,N,Pass,0
42746,FFF,2014B,2737,4.165905631659056,6.079117129184907,95.5,97.0,4.0,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction,0
42818,DDD,2013J,200,2.150537634408602,1.7566410422410286,39.0,39.0,1.0,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,Y,Fail,1
43273,FFF,2013B,241,2.7701149425287355,3.0754131861758607,81.0,90.0,2.0,M,East Midlands Region,HE Qualification,60-70%,35-55,0,90,N,Pass,0
43284,DDD,2013B,503,2.1404255319148935,2.8135553726988873,81.0,89.0,4.0,M,East Midlands Region,Lower Than A Level,80-90%,0-35,2,180,N,Withdrawn,1
43430,FFF,2013B,1801,4.1307339449541285,6.001062772760774,90.5,98.0,4.0,M,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0
43564,EEE,2013J,990,4.212765957446808,6.720730049797784,94.0,94.0,1.0,M,Scotland,HE Qualification,80-90%,35-55,0,60,N,Pass,0
43958,FFF,2013J,2099,3.708480565371025,6.135764774553222,75.8,98.0,5.0,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,1
45462,AAA,2013J,704,5.176470588235294,7.171840357791509,67.5,70.0,2.0,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,0
45642,AAA,2013J,586,2.6515837104072397,2.3550448226784035,72.0,72.0,1.0,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0
45664,CCC,2014B,123,2.6739130434782608,5.333559777801468,26.0,52.0,2.0,M,Yorkshire Region,HE Qualification,60-70%,0-35,0,60,N,Withdrawn,1
45664,DDD,2013B,543,2.715,3.4223291313690285,53.0,66.0,3.0,M,Yorkshire Region,HE Qualification,60-70%,0-35,1,60,N,Pass,0
46148,FFF,2014B,915,4.030837004405286,7.48413783998051,80.0,84.0,2.0,M,North Western Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,0
46605,CCC,2014B,1551,3.997422680412371,5.418648396620934,94.0,98.0,2.0,M,East Anglian Region,HE Qualification,60-70%,35-55,0,60,N,Distinction,0
46753,DDD,2014B,1082,3.490322580645161,5.100755375159948,80.0,80.0,1.0,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,0
47063,DDD,2013J,65,1.625,1.0299987552892653,43.0,43.0,1.0,M,London Region,HE Qualification,40-50%,35-55,0,120,N,Withdrawn,1
47855,BBB,2013J,11,1.5714285714285714,0.7867957924694431,45.90909090909091,80.0,11.0,F,Scotland,Lower Than A Level,10-20,35-55,3,300,N,Withdrawn,1
47924,FFF,2013J,34,2.6153846153846154,1.12089707663561,41.0,44.0,2.0,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,1
48040,BBB,2013J,565,2.3443983402489628,2.0700391881952145,72.0,100.0,3.0,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,0
48152,DDD,2013J,203,3.0757575757575757,3.95478524579102,60.5,62.0,2.0,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,0
48503,BBB,2013J,278,3.1954022988505746,3.9937133168523697,82.33333333333333,100.0,3.0,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,0
48635,FFF,2014B,1216,3.8603174603174604,7.946848505714913,88.25,96.0,4.0,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,0
49119,CCC,2014B,283,2.439655172413793,3.674326422988119,74.0,98.0,2.0,M,Ireland,HE Qualification,Unknown,0-35,0,90,N,Distinction,0
49119,DDD,2014B,195,1.4661654135338347,0.9965765048438757,71.0,73.0,2.0,M,Ireland,HE Qualification,Unknown,0-35,0,90,N,Withdrawn,1
49123,GGG,2014B,244,4.6923076923076925,7.379192956399962,0.0,0.0,0.0,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass,0
49670,FFF,2013J,33,6.6,9.813256340277675,0.0,0.0,0.0,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,1
50069,BBB,2014B,191,2.6164383561643834,2.2707691855545176,87.33333333333333,100.0,3.0,F,Scotland,A Level or Equivalent,30-40%,0-35,0,90,N,Fail,1
50263,CCC,2014B,425,3.0141843971631204,5.0085438653833405,43.0,66.0,2.0,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,1
50263,FFF,2013B,2956,5.60910815939279,9.707458255437157,88.5,100.0,4.0,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0
50476,DDD,2014B,280,2.3529411764705883,2.9157324145846473,90.5,95.0,2.0,F,South West Region,HE Qualification,0-10%,0-35,0,60,N,Distinction,0
