Week,Model,Features,Fold,N_train,N_test,N_features,AUROC,AUPRC,F1,Precision,Recall,Balanced_Acc
2,Majority,All_features,0,26026,6567,44,0.5,0.5306837216384955,0.6933943493832073,0.5306837216384955,1.0,0.5
2,Majority,All_features,1,26064,6529,44,0.5,0.5265737478940113,0.6898765927560951,0.5265737478940113,1.0,0.5
2,Majority,All_features,2,26072,6521,44,0.5,0.524612789449471,0.688191510762422,0.524612789449471,1.0,0.5
2,Majority,All_features,3,26099,6494,44,0.5,0.5275639051432092,0.6907258064516129,0.5275639051432092,1.0,0.5
2,Majority,All_features,4,26111,6482,44,0.5,0.5303918543659364,0.6931451612903226,0.5303918543659364,1.0,0.5
2,LogisticRegression,VLE_only,0,26026,6567,3,0.7167757525763983,0.749234271456265,0.6901877246704833,0.6438152011922503,0.7437589670014347,0.639238341385208
2,LogisticRegression,VLE_only,1,26064,6529,3,0.7154769076617001,0.752978134442501,0.6891184757815645,0.639601494396015,0.7469458987783595,0.6394063042905062
2,LogisticRegression,VLE_only,2,26072,6521,3,0.7138667716476035,0.7537303846577028,0.6826298701298701,0.6353563334172753,0.7375036539023677,0.6352034398544097
2,LogisticRegression,VLE_only,3,26099,6494,3,0.7094827993006925,0.74612169872051,0.6830047948854555,0.6281234688878001,0.7483946293053123,0.626804876582252
2,LogisticRegression,VLE_only,4,26111,6482,3,0.7081089722273821,0.7439556655697441,0.6840329329194224,0.6381264165197683,0.7370564281559046,0.6324901063249957
2,LogisticRegression,Assessment_only,0,26026,6567,3,0.5109183512913879,0.5365192923943614,0.6936006480356419,0.5359098732592709,0.9827833572453372,0.5102106273572565
2,LogisticRegression,Assessment_only,1,26064,6529,3,0.5111661414879167,0.5328974937087497,0.6901350798198935,0.5323650142090306,0.9808027923211169,0.5112684294831078
2,LogisticRegression,Assessment_only,2,26072,6521,3,0.5149866102158396,0.5323766589428702,0.6901928600738613,0.5316895843211633,0.983338205203157,0.5137658767951269
2,LogisticRegression,Assessment_only,3,26099,6494,3,0.5157263346249367,0.5361352544904369,0.6919509430073173,0.5348096224310976,0.9798598949211909,0.5140498953093569
2,LogisticRegression,Assessment_only,4,26111,6482,3,0.5092485412705948,0.535676319052031,0.6914543960558751,0.5344553826611623,0.9790575916230366,0.5079256420664461
2,LogisticRegression,VLE+Assessment,0,26026,6567,6,0.7213278470724166,0.753016736127498,0.6931139710760249,0.6446199407699901,0.7494978479196557,0.6411343879442535
2,LogisticRegression,VLE+Assessment,1,26064,6529,6,0.7193547236633819,0.7553829826393108,0.6920600858369099,0.6421105027376804,0.7504363001745201,0.6426073445227178
2,LogisticRegression,VLE+Assessment,2,26072,6521,6,0.7186829921452886,0.7573342393166607,0.6861471861471862,0.6386300679929489,0.7413037123648056,0.639200243279177
2,LogisticRegression,VLE+Assessment,3,26099,6494,6,0.7155476070329584,0.7513393040107895,0.686865990389749,0.6328086571569109,0.7510215995329831,0.6321926772110809
2,LogisticRegression,VLE+Assessment,4,26111,6482,6,0.711486524191631,0.7478364591417347,0.6863299663299663,0.6390770002508152,0.7411285631180919,0.6341976586943943
2,LogisticRegression,All_features,0,26026,6567,44,0.7612930916498537,0.7886083009859961,0.7202216066481995,0.6961178045515395,0.7460545193687231,0.6888935802554192
2,LogisticRegression,All_features,1,26064,6529,44,0.7535321352746034,0.783822589159549,0.7090499013250634,0.687910284463895,0.7315299592786504,0.6811968787011176
2,LogisticRegression,All_features,2,26072,6521,44,0.7556699135321685,0.7843308350061171,0.7092298980747452,0.6876200933296733,0.7322420344928383,0.682572630149645
2,LogisticRegression,All_features,3,26099,6494,44,0.7493118616667847,0.7748406042623961,0.705586592178771,0.676486341724692,0.7373029772329247,0.6717805629319773
2,LogisticRegression,All_features,4,26111,6482,44,0.7461164888977563,0.7796742944530316,0.7041294167730949,0.6874480465502909,0.7216404886561955,0.6755377213320399
2,RandomForest,VLE_only,0,26026,6567,3,0.6801131576227775,0.7122131370436756,0.6410066617320503,0.6620795107033639,0.6212338593974175,0.631350219770091
2,RandomForest,VLE_only,1,26064,6529,3,0.6878867206092337,0.7211588482848903,0.6383813981579345,0.6637362637362637,0.6148923792902851,0.6342012850835119
2,RandomForest,VLE_only,2,26072,6521,3,0.6866581173209116,0.7203976289945793,0.6418798334324807,0.6533454435361792,0.6308097047646887,0.6307274330275057
2,RandomForest,VLE_only,3,26099,6494,3,0.680957262927639,0.7155740971955802,0.6367175801138065,0.6537515375153752,0.6205487448920023,0.6267672016506948
2,RandomForest,VLE_only,4,26111,6482,3,0.6810512426241764,0.715213814780583,0.641191514969159,0.664069803677158,0.6198371146015125,0.6328489120970768
2,RandomForest,Assessment_only,0,26026,6567,3,0.5095643515315941,0.5362738823211389,0.6934734289755506,0.5351629502572899,0.9847919655667144,0.5087814467677829
2,RandomForest,Assessment_only,1,26064,6529,3,0.5121459230941073,0.5330131664174773,0.6902763561924258,0.5325331648768161,0.9808027923211169,0.5115919493795814
2,RandomForest,Assessment_only,2,26072,6521,3,0.5101291359817446,0.5309022809703235,0.6890050210062506,0.5304512464499842,0.9827535808243204,0.5113767904121602
2,RandomForest,Assessment_only,3,26099,6494,3,0.5166487996157918,0.5372492282801963,0.6918652423993427,0.533755942947702,0.9830706363105662,0.5120698683508502
2,RandomForest,Assessment_only,4,26111,6482,3,0.5083337537715216,0.5353431032564299,0.6919761953621999,0.534559289790742,0.9808027923211169,0.5081412121920958
2,RandomForest,VLE+Assessment,0,26026,6567,6,0.6853351761558995,0.7162748996510931,0.6476868327402135,0.6701442160171832,0.6266857962697274,0.6389431577065704
2,RandomForest,VLE+Assessment,1,26064,6529,6,0.6907110267211626,0.7225886028258811,0.6382595648912228,0.6591261233343663,0.618673647469459,0.6314008806742313
2,RandomForest,VLE+Assessment,2,26072,6521,6,0.6906370048372953,0.7264050142608502,0.6453055141579732,0.6582547886895713,0.6328558900906168,0.6351376224646632
2,RandomForest,VLE+Assessment,3,26099,6494,6,0.6842777468259822,0.7169953002326923,0.6383553421368547,0.6568869672637431,0.6208406304728546,0.629357733750117
2,RandomForest,VLE+Assessment,4,26111,6482,6,0.6847366700072393,0.7186894954867385,0.6431137724550898,0.662553979025293,0.62478184991274,0.6326931588591296
2,RandomForest,All_features,0,26026,6567,44,0.7468675430160036,0.778364408164216,0.6842105263157895,0.7057029582189692,0.6639885222381635,0.6754400755253115
2,RandomForest,All_features,1,26064,6529,44,0.7518521937528476,0.7830111223011801,0.6864988558352403,0.7218479307025987,0.6544502617801047,0.6869792557687324
2,RandomForest,All_features,2,26072,6521,44,0.749250926441052,0.7863915810224362,0.6818800060450355,0.7058823529411765,0.659456299327682,0.6781152464380346
2,RandomForest,All_features,3,26099,6494,44,0.7429345708216407,0.7802398038921231,0.6840371368673256,0.7023370233702337,0.6666666666666666,0.6755758365927858
2,RandomForest,All_features,4,26111,6482,44,0.7408812690200504,0.7777620615217105,0.6839891859417242,0.7071428571428572,0.662303664921466,0.6762569572964754
2,XGBoost,VLE_only,0,26026,6567,3,0.7097350562389847,0.7434662512369795,0.6549013792080677,0.6777163904235728,0.6335724533715925,0.64644229417444
2,XGBoost,VLE_only,1,26064,6529,3,0.717044115956005,0.7535499413323021,0.6590499098015634,0.6820161792159303,0.6375799883653287,0.6534713270846378
2,XGBoost,VLE_only,2,26072,6521,3,0.7068340232529633,0.749373409528021,0.6530251729721772,0.6577698695136418,0.6483484361297867,0.6380451858068288
2,XGBoost,VLE_only,3,26099,6494,3,0.7050611323333874,0.7421274679763283,0.6545237384293819,0.6699266503667481,0.6398131932282545,0.6438961663664089
2,XGBoost,VLE_only,4,26111,6482,3,0.7028750423304813,0.7405616896547663,0.644277108433735,0.6680199875078077,0.6221640488656196,0.636476242566844
2,XGBoost,Assessment_only,0,26026,6567,3,0.5102474031191432,0.5366035122585189,0.6939642098877767,0.535747736497034,0.9847919655667144,0.5099170729845253
2,XGBoost,Assessment_only,1,26064,6529,3,0.5121475228143634,0.5329995246732464,0.6902763561924258,0.5325331648768161,0.9808027923211169,0.5115919493795814
2,XGBoost,Assessment_only,2,26072,6521,3,0.5101255999471952,0.5309284898215252,0.6890050210062506,0.5304512464499842,0.9827535808243204,0.5113767904121602
2,XGBoost,Assessment_only,3,26099,6494,3,0.5166642596571503,0.5372873685462027,0.6925453047775947,0.5349984091632198,0.9816112084063048,0.5144366341901145
2,XGBoost,Assessment_only,4,26111,6482,3,0.5082027012771383,0.5351862364425483,0.6926389173672339,0.5348321722609246,0.9825479930191972,0.5086852974294409
2,XGBoost,VLE+Assessment,0,26026,6567,6,0.7152413653769703,0.7496485735920972,0.6624577888709441,0.6782922429344558,0.6473457675753228,0.6500843049427555
2,XGBoost,VLE+Assessment,1,26064,6529,6,0.7202593184175416,0.753732612992142,0.6609860012172855,0.6930440331844289,0.631762652705061,0.660268256148713
2,XGBoost,VLE+Assessment,2,26072,6521,6,0.7126195886884612,0.7528705570049629,0.655693950177936,0.665362624134818,0.6463022508038585,0.6437962866922518
2,XGBoost,VLE+Assessment,3,26099,6494,6,0.7080939167543846,0.746952842274047,0.6557037037037037,0.6657641395908543,0.645942790426153,0.6419088137267661
2,XGBoost,VLE+Assessment,4,26111,6482,6,0.7085133573212431,0.7452268322689561,0.653507440024294,0.6836086404066074,0.6259453170447935,0.649372132898218
2,XGBoost,All_features,0,26026,6567,44,0.757349333427678,0.7917899380866711,0.7001459854014599,0.712630014858841,0.6880918220946916,0.6871672608202206
2,XGBoost,All_features,1,26064,6529,44,0.7610831912875848,0.7968686244588777,0.6967606478704259,0.7191950464396285,0.6756835369400814,0.6911254954192481
2,XGBoost,All_features,2,26072,6521,44,0.7567482154812307,0.7961489158092205,0.6936503159795365,0.7147286821705426,0.6737795966091786,0.6885027015303957
