Week,Model,Features,AUROC,AUPRC,F1,Precision,Recall,Balanced_Acc
2,LightGBM,All_features,0.769±0.005,0.805±0.003,0.702±0.004,0.728±0.008,0.678±0.009,0.697±0.005
2,LightGBM,Assessment_only,0.511±0.002,0.535±0.003,0.691±0.002,0.533±0.002,0.980±0.003,0.510±0.002
2,LightGBM,VLE+Assessment,0.725±0.005,0.759±0.004,0.663±0.004,0.693±0.012,0.636±0.011,0.660±0.007
2,LightGBM,VLE_only,0.721±0.006,0.755±0.005,0.662±0.005,0.690±0.012,0.636±0.009,0.658±0.008
2,LogisticRegression,All_features,0.753±0.006,0.782±0.006,0.709±0.006,0.687±0.007,0.733±0.008,0.680±0.006
2,LogisticRegression,Assessment_only,0.512±0.003,0.535±0.002,0.691±0.002,0.534±0.002,0.980±0.002,0.511±0.003
2,LogisticRegression,VLE+Assessment,0.717±0.004,0.753±0.004,0.688±0.004,0.639±0.005,0.746±0.005,0.637±0.005
2,LogisticRegression,VLE_only,0.713±0.004,0.749±0.004,0.686±0.004,0.637±0.006,0.743±0.005,0.635±0.005
2,Majority,All_features,0.500±0.000,0.528±0.003,0.691±0.002,0.528±0.003,1.000±0.000,0.500±0.000
2,RandomForest,All_features,0.746±0.005,0.781±0.004,0.682±0.005,0.707±0.008,0.659±0.007,0.676±0.006
2,RandomForest,Assessment_only,0.511±0.002,0.535±0.003,0.691±0.002,0.533±0.002,0.981±0.003,0.509±0.002
2,RandomForest,VLE+Assessment,0.687±0.004,0.721±0.004,0.642±0.003,0.661±0.007,0.623±0.003,0.633±0.005
2,RandomForest,VLE_only,0.683±0.004,0.717±0.004,0.640±0.002,0.659±0.005,0.621±0.006,0.631±0.003
2,XGBoost,All_features,0.756±0.004,0.794±0.002,0.693±0.005,0.711±0.007,0.676±0.009,0.684±0.005
2,XGBoost,Assessment_only,0.511±0.003,0.535±0.003,0.690±0.002,0.533±0.002,0.980±0.002,0.510±0.002
2,XGBoost,VLE+Assessment,0.712±0.005,0.749±0.004,0.658±0.005,0.678±0.009,0.640±0.007,0.650±0.007
2,XGBoost,VLE_only,0.708±0.005,0.746±0.005,0.653±0.005,0.671±0.009,0.636±0.010,0.644±0.007
4,LightGBM,All_features,0.821±0.003,0.859±0.003,0.734±0.007,0.783±0.008,0.692±0.008,0.739±0.007
4,LightGBM,Assessment_only,0.717±0.003,0.706±0.004,0.696±0.006,0.699±0.006,0.694±0.014,0.680±0.003
4,LightGBM,VLE+Assessment,0.784±0.005,0.818±0.005,0.715±0.009,0.749±0.009,0.683±0.012,0.714±0.008
4,LightGBM,VLE_only,0.733±0.005,0.775±0.005,0.667±0.004,0.698±0.008,0.639±0.010,0.665±0.004
4,LogisticRegression,All_features,0.778±0.007,0.815±0.005,0.715±0.006,0.712±0.004,0.718±0.009,0.697±0.005
4,LogisticRegression,Assessment_only,0.695±0.004,0.672±0.002,0.671±0.004,0.708±0.002,0.637±0.006,0.671±0.002
4,LogisticRegression,VLE+Assessment,0.747±0.006,0.783±0.006,0.695±0.005,0.699±0.004,0.690±0.008,0.679±0.004
4,LogisticRegression,VLE_only,0.717±0.006,0.761±0.006,0.690±0.005,0.635±0.006,0.756±0.006,0.635±0.006
4,Majority,All_features,0.500±0.000,0.528±0.003,0.691±0.002,0.528±0.003,1.000±0.000,0.500±0.000
4,RandomForest,All_features,0.810±0.003,0.848±0.004,0.732±0.006,0.773±0.003,0.695±0.009,0.733±0.004
4,RandomForest,Assessment_only,0.713±0.004,0.702±0.004,0.695±0.005,0.697±0.007,0.693±0.013,0.678±0.003
4,RandomForest,VLE+Assessment,0.756±0.004,0.789±0.003,0.693±0.004,0.716±0.004,0.671±0.007,0.687±0.003
4,RandomForest,VLE_only,0.698±0.004,0.743±0.004,0.641±0.007,0.666±0.004,0.618±0.012,0.636±0.005
4,XGBoost,All_features,0.809±0.002,0.851±0.002,0.731±0.003,0.770±0.004,0.695±0.007,0.732±0.002
4,XGBoost,Assessment_only,0.715±0.004,0.705±0.005,0.695±0.005,0.698±0.006,0.692±0.013,0.679±0.003
4,XGBoost,VLE+Assessment,0.771±0.006,0.807±0.005,0.707±0.007,0.731±0.004,0.685±0.013,0.702±0.004
4,XGBoost,VLE_only,0.718±0.003,0.764±0.004,0.660±0.004,0.684±0.004,0.637±0.007,0.654±0.004
6,LightGBM,All_features,0.840±0.003,0.876±0.003,0.752±0.008,0.803±0.009,0.708±0.011,0.757±0.008
6,LightGBM,Assessment_only,0.773±0.007,0.776±0.006,0.718±0.007,0.767±0.008,0.675±0.010,0.723±0.006
6,LightGBM,VLE+Assessment,0.805±0.004,0.837±0.004,0.735±0.005,0.755±0.006,0.716±0.010,0.728±0.005
6,LightGBM,VLE_only,0.750±0.004,0.791±0.005,0.685±0.002,0.710±0.005,0.661±0.007,0.680±0.003
6,LogisticRegression,All_features,0.800±0.006,0.835±0.005,0.727±0.006,0.744±0.005,0.710±0.009,0.718±0.005
6,LogisticRegression,Assessment_only,0.763±0.006,0.760±0.005,0.686±0.005,0.788±0.002,0.607±0.007,0.712±0.003
6,LogisticRegression,VLE+Assessment,0.780±0.006,0.810±0.005,0.707±0.005,0.769±0.005,0.654±0.009,0.717±0.004
6,LogisticRegression,VLE_only,0.730±0.006,0.774±0.006,0.698±0.004,0.640±0.004,0.767±0.007,0.642±0.005
6,Majority,All_features,0.500±0.000,0.528±0.003,0.691±0.002,0.528±0.003,1.000±0.000,0.500±0.000
6,RandomForest,All_features,0.831±0.004,0.867±0.003,0.751±0.008,0.798±0.007,0.709±0.011,0.754±0.007
6,RandomForest,Assessment_only,0.764±0.010,0.766±0.008,0.714±0.010,0.760±0.011,0.673±0.011,0.718±0.009
6,RandomForest,VLE+Assessment,0.782±0.004,0.814±0.003,0.715±0.007,0.737±0.006,0.695±0.011,0.709±0.006
6,RandomForest,VLE_only,0.714±0.006,0.760±0.005,0.656±0.006,0.682±0.007,0.631±0.009,0.651±0.006
6,XGBoost,All_features,0.829±0.004,0.868±0.003,0.749±0.007,0.789±0.008,0.713±0.010,0.750±0.008
6,XGBoost,Assessment_only,0.770±0.008,0.774±0.006,0.716±0.007,0.765±0.011,0.673±0.008,0.721±0.008
6,XGBoost,VLE+Assessment,0.796±0.005,0.829±0.005,0.732±0.005,0.747±0.004,0.717±0.008,0.723±0.005
6,XGBoost,VLE_only,0.737±0.006,0.781±0.006,0.678±0.006,0.701±0.007,0.656±0.010,0.671±0.007
8,LightGBM,All_features,0.865±0.006,0.897±0.004,0.785±0.008,0.837±0.006,0.739±0.011,0.789±0.007
8,LightGBM,Assessment_only,0.809±0.007,0.806±0.007,0.754±0.008,0.777±0.008,0.732±0.015,0.748±0.007
8,LightGBM,VLE+Assessment,0.840±0.006,0.867±0.006,0.770±0.006,0.787±0.006,0.753±0.011,0.763±0.005
8,LightGBM,VLE_only,0.763±0.005,0.805±0.005,0.694±0.003,0.725±0.005,0.665±0.002,0.691±0.004
8,LogisticRegression,All_features,0.814±0.005,0.848±0.005,0.735±0.007,0.767±0.006,0.706±0.010,0.733±0.006
8,LogisticRegression,Assessment_only,0.784±0.006,0.775±0.006,0.695±0.007,0.810±0.004,0.609±0.009,0.724±0.005
8,LogisticRegression,VLE+Assessment,0.803±0.005,0.830±0.005,0.719±0.009,0.802±0.002,0.651±0.013,0.736±0.005
8,LogisticRegression,VLE_only,0.742±0.005,0.787±0.004,0.706±0.004,0.646±0.005,0.778±0.008,0.650±0.005
8,Majority,All_features,0.500±0.000,0.528±0.003,0.691±0.002,0.528±0.003,1.000±0.000,0.500±0.000
8,RandomForest,All_features,0.857±0.005,0.889±0.004,0.777±0.008,0.823±0.006,0.736±0.013,0.780±0.007
8,RandomForest,Assessment_only,0.788±0.008,0.785±0.009,0.747±0.009,0.760±0.005,0.735±0.013,0.738±0.007
8,RandomForest,VLE+Assessment,0.824±0.008,0.848±0.008,0.750±0.007,0.776±0.006,0.726±0.011,0.746±0.007
8,RandomForest,VLE_only,0.730±0.008,0.776±0.007,0.668±0.007,0.692±0.008,0.645±0.008,0.662±0.008
8,XGBoost,All_features,0.858±0.006,0.892±0.005,0.776±0.009,0.818±0.007,0.738±0.013,0.777±0.008
8,XGBoost,Assessment_only,0.804±0.008,0.802±0.008,0.752±0.006,0.772±0.007,0.732±0.006,0.745±0.006
8,XGBoost,VLE+Assessment,0.832±0.007,0.861±0.007,0.763±0.010,0.780±0.010,0.747±0.012,0.756±0.010
8,XGBoost,VLE_only,0.753±0.005,0.797±0.005,0.686±0.002,0.712±0.005,0.662±0.005,0.681±0.002
