Week,Model,Strategy_A_AUROC_mean,Strategy_A_AUROC_std,Strategy_B_AUROC_mean,Strategy_B_AUROC_std,Delta_AUROC_mean,Rows_Dropped_A,Rows_Dropped_B,Rows_Dropped_Diff,Rows_Dropped_Pct
2,LightGBM,0.7687915672034333,0.00465107072245146,0.7694396868356339,0.0052474098311298956,0.000648,1189,1089,100,8.41
2,LogisticRegression,0.7529044129756107,0.005319239101932329,0.7531846982042334,0.005234529542547581,0.00028,1189,1089,100,8.41
2,Majority,0.5,0.0,0.5,0.0,0.0,1189,1089,100,8.41
2,RandomForest,0.7456515686876133,0.004217520403299623,0.7463573020698437,0.004013165376106692,0.000706,1189,1089,100,8.41
2,XGBoost,0.755849689772087,0.0036482316922053218,0.7558480431497888,0.003455295222230801,-2e-06,1189,1089,100,8.41
4,LightGBM,0.8209072545167837,0.002879228096332818,0.8217962137769389,0.002312778681411605,0.000889,22043,21393,650,2.95
4,LogisticRegression,0.7782515425330004,0.006168090025982018,0.7792234025303004,0.006093055063691895,0.000972,22043,21393,650,2.95
4,Majority,0.5,0.0,0.5,0.0,0.0,22043,21393,650,2.95
4,RandomForest,0.809943193330503,0.0026811212499695913,0.8082553521749276,0.0031451121684523157,-0.001688,22043,21393,650,2.95
4,XGBoost,0.8092397640184007,0.0017651794095439948,0.8099786897589473,0.002625568213406326,0.000739,22043,21393,650,2.95
6,LightGBM,0.8396982286047893,0.0030468646435146177,0.8393359303524136,0.0029164794610653452,-0.000362,29107,28569,538,1.85
6,LogisticRegression,0.80020739949642,0.005217642401552564,0.7999716902120084,0.004976908390416983,-0.000236,29107,28569,538,1.85
6,Majority,0.5,0.0,0.5,0.0,0.0,29107,28569,538,1.85
6,RandomForest,0.8308023724146253,0.003543671722742811,0.8299922483413413,0.003446865669636689,-0.00081,29107,28569,538,1.85
6,XGBoost,0.8288656718632538,0.003210451966643269,0.8269486070198955,0.00360483994446341,-0.001917,29107,28569,538,1.85
8,LightGBM,0.8653840321796888,0.00522842059966112,0.8629711929106907,0.003798118592192678,-0.002413,47259,44927,2332,4.93
8,LogisticRegression,0.8138284400024343,0.004532060444004777,0.813606855256037,0.0046132531594962976,-0.000222,47259,44927,2332,4.93
8,Majority,0.5,0.0,0.5,0.0,0.0,47259,44927,2332,4.93
8,RandomForest,0.8573012176097773,0.004600637941236641,0.8552746938679435,0.00434571838039897,-0.002027,47259,44927,2332,4.93
8,XGBoost,0.8578730839138338,0.005636377781471917,0.8558269811749126,0.004593587375231618,-0.002046,47259,44927,2332,4.93
