Week,Model,Split,Train_Presentations,Test_Presentations,N_train,N_test,AUROC,AUPRC,F1,Precision,Recall,Balanced_Acc
2,LogisticRegression,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7540607688686108,0.7783441422196324,0.7104677060133631,0.6597724922440538,0.7696019300361882,0.6737875877045518
2,RandomForest,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7475865626680872,0.7746680342111331,0.691600034390852,0.6901166781056967,0.6930897811476823,0.681069354565045
2,XGBoost,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7496604427370082,0.782171256685982,0.6901780390152483,0.6824460916442049,0.6980871962777874,0.676329652747653
2,LightGBM,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7669814394310084,0.7961961759868261,0.7025588184784476,0.7001540304638029,0.7049801826641392,0.6919623288251977
4,LogisticRegression,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7534657166926384,0.7553346663093616,0.7030734061468122,0.6910785619174434,0.7154919869033258,0.687689185681826
4,RandomForest,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7892825935262328,0.8171411922118244,0.7233333333333334,0.7366446310523495,0.7104945717732207,0.7201913943711257
4,XGBoost,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7808527534888007,0.806856464529759,0.7184215061175254,0.7184215061175254,0.7184215061175254,0.7094947919079473
4,LightGBM,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7959365295784052,0.8216559623241706,0.7253398396653886,0.7336506257711969,0.7172152334999138,0.7201615841313019
6,LogisticRegression,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.7883175501692283,0.8093648485971721,0.7215727028665454,0.7252785515320335,0.717904532138549,0.7143673292908248
6,RandomForest,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.8110780787969899,0.8364420833005002,0.7321845270148986,0.7640007492039708,0.7029122867482337,0.736008094995887
6,XGBoost,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.8020135711748371,0.8293263370674603,0.7313301704445616,0.7460118300770747,0.7172152334999138,0.7287743750420588
6,LightGBM,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.8157101921746794,0.8393373040814901,0.7405023688209529,0.7693164933135216,0.7137687403067379,0.7430855796091138
8,LogisticRegression,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.8111905935051382,0.8425694683134035,0.7345742847294037,0.7347009136355801,0.7344476994657936,0.726212304928059
8,RandomForest,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.8463565239630908,0.8739489452197569,0.7714481811942348,0.7681530838886041,0.7747716698259521,0.763050119318327
8,XGBoost,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.8204889725638742,0.848590575358078,0.7523582971044213,0.7179085785848466,0.7902808891952439,0.7300314103297092
8,LightGBM,Future-Presentation,"2013B, 2013J, 2014B",2014J,21333,11260,0.8359129769626529,0.8654291886449175,0.7627798195790177,0.7401523747771114,0.786834396002068,0.7465416253420638
