feature,importance
vle_last_access,0.12280380435999905
assess_mean_score,0.09203282297266133
vle_total_clicks,0.07276167704542831
assess_min_score,0.07053941450269052
assess_max_score,0.07040499699397346
vle_num_days,0.06572461690898725
vle_std_clicks,0.05854896798976126
vle_mean_clicks,0.05331247862340898
vle_max_clicks,0.04808955215992916
assess_std_score,0.042862123004246286
vle_first_access,0.04072202123464885
studied_credits,0.0390205446082667
assess_count,0.03388241970310922
vle_activity_diversity,0.03311414584893494
highest_education_Lower Than A Level,0.011635100926991878
gender_M,0.011151003164780182
num_of_prev_attempts,0.008956710734601655
age_band_35-55,0.008354542488986632
imd_band_0-10%,0.0057054489915128615
imd_band_20-30%,0.005533808048280338
disability_Y,0.005514932542854624
region_Scotland,0.005351049831859539
imd_band_10-20,0.005237556775083995
region_North Western Region,0.005080622573435308
highest_education_HE Qualification,0.005069516755177036
imd_band_30-40%,0.005058138639428779
region_South Region,0.005051221033649048
region_London Region,0.004991087257526238
imd_band_60-70%,0.004953259164698426
imd_band_70-80%,0.004908509006223689
imd_band_50-60%,0.0048450967757032275
imd_band_40-50%,0.004789576825572362
imd_band_80-90%,0.004747153000582502
region_West Midlands Region,0.004719264283335344
region_East Midlands Region,0.00467661928633387
region_South West Region,0.004327051968688538
region_Wales,0.004250044268269282
region_South East Region,0.004232194394841878
imd_band_90-100%,0.004216358869532122
region_North Region,0.00360481256104148
region_Yorkshire Region,0.0035580799456335437
region_Ireland,0.002936779219659216
highest_education_No Formal quals,0.0012817813534944727
highest_education_Post Graduate Qualification,0.0008493684811066508
age_band_55_lt_=,0.0005937248750701126
assess_missing_count,0.0
