condition,week,seed,loss_weighting,auroc,auprc,f1,precision,recall,balanced_acc,best_threshold,pipeline_version
full,8,42,weighted,0.8319514220268878,0.8746026272412561,0.7567415730337078,0.7296858071505958,0.7858809801633606,0.7311376366445856,0.4,v2_corrected
full,8,123,weighted,0.8394831486442816,0.8822516727311085,0.7613554434030281,0.7584027578282103,0.7643312101910829,0.7445223972395676,0.35000000000000003,v2_corrected
full,8,7,weighted,0.8381485487555465,0.8793701459453276,0.7574621268936553,0.7814917982048901,0.7348661233993015,0.7526736338713023,0.4,v2_corrected
full,8,17,weighted,0.8393385057214551,0.882417543066482,0.7662636729994243,0.7660431654676259,0.7664843075151166,0.749919752970415,0.35000000000000003,v2_corrected
full,8,99,weighted,0.8368847935446428,0.8804772430905677,0.767342582710779,0.7141792897938912,0.829057365234938,0.723713032750095,0.30000000000000004,v2_corrected
no_assessment,8,42,weighted,0.7946614778425025,0.841632106379991,0.7367045603031491,0.6672189349112426,0.8223453908984831,0.6832219820899679,0.30000000000000004,v2_corrected
no_assessment,8,123,weighted,0.8176178002780523,0.8628742180846787,0.7475428250491435,0.7257360959651036,0.7707006369426752,0.7207022006317304,0.35000000000000003,v2_corrected
no_assessment,8,7,weighted,0.8161881917310932,0.8606744150855195,0.74649748876553,0.6837772397094432,0.8218859138533178,0.6986542703206771,0.35000000000000003,v2_corrected
no_assessment,8,17,weighted,0.8104767254339029,0.8572682564305949,0.7468857672939305,0.6918733120549964,0.8114022458969191,0.6998959409215655,0.35000000000000003,v2_corrected
no_assessment,8,99,weighted,0.805767338296836,0.8547054593272967,0.7423103212576897,0.7059282371294852,0.7826462957624676,0.7038231478812338,0.4,v2_corrected
no_vle,8,42,weighted,0.8149911671941001,0.8625362491052782,0.7424638678596008,0.7028928850664582,0.7867561260210035,0.7085531602867663,0.35000000000000003,v2_corrected
no_vle,8,123,weighted,0.827965204601605,0.8747117736951782,0.7507050197405527,0.7317207256734469,0.7707006369426752,0.7256121842651183,0.35000000000000003,v2_corrected
no_vle,8,7,weighted,0.8247694040458937,0.8704275824410804,0.7509423021165555,0.7481224725592144,0.7537834691501746,0.7351492118182603,0.35000000000000003,v2_corrected
no_vle,8,17,weighted,0.8242957880484952,0.8716865149805526,0.7523321508343187,0.6918801353310778,0.8243593435070544,0.7030947258696308,0.30000000000000004,v2_corrected
no_vle,8,99,weighted,0.8256592303333887,0.87382307119781,0.7556096242227629,0.7113769406973784,0.8057076967425771,0.7148565008911825,0.30000000000000004,v2_corrected
no_temporal,8,42,weighted,0.8221805206834083,0.8655378527809006,0.7512841308461746,0.7,0.8106767794632439,0.7122450045176142,0.30000000000000004,v2_corrected
no_temporal,8,123,weighted,0.8288054742384597,0.8719894076280291,0.7566409597257926,0.7466178128523112,0.7669368847712796,0.7363325995051161,0.4,v2_corrected
no_temporal,8,7,weighted,0.8349023515261796,0.8753264949248786,0.7629495903346757,0.7296148738379814,0.7994761350407451,0.7342634251276547,0.4,v2_corrected
no_temporal,8,17,weighted,0.8299956644411554,0.8737112054261899,0.760328317373461,0.7242637477195726,0.8001727613014684,0.7265868726153127,0.35000000000000003,v2_corrected
no_temporal,8,99,weighted,0.833783337143766,0.8774888498276103,0.7641178059983789,0.7190439867785405,0.8152205246468723,0.7244206071510224,0.35000000000000003,v2_corrected
no_course_features,8,42,weighted,0.8255987163013982,0.8693866951246951,0.7453400503778338,0.6558067375886525,0.8631855309218203,0.6798093672767338,0.25,v2_corrected
no_course_features,8,123,weighted,0.8329051826341431,0.875953437579052,0.7529753265602322,0.7549476135040745,0.7510133178922987,0.7376997849690626,0.35000000000000003,v2_corrected
no_course_features,8,7,weighted,0.8298804178506171,0.873122966025712,0.7516816945756405,0.7395099971838919,0.7642607683352736,0.7317727768854521,0.35000000000000003,v2_corrected
no_course_features,8,17,weighted,0.8304452744533404,0.8753856671161216,0.7567209641107138,0.7005885237861696,0.8226317304923697,0.7110862817761947,0.30000000000000004,v2_corrected
no_course_features,8,99,weighted,0.8296293124475748,0.8752764480611084,0.7570119411274646,0.7302437717653362,0.7858172383972326,0.7259656483763351,0.35000000000000003,v2_corrected
no_edge_attrs,8,42,weighted,0.826441134049795,0.870919992451274,0.7508791672527781,0.7250747079597936,0.7785880980163361,0.7252214160639397,0.4,v2_corrected
no_edge_attrs,8,123,weighted,0.8387281237531949,0.881540346077108,0.7650834403080873,0.7540061849873488,0.7764910248986682,0.7450376564755207,0.35000000000000003,v2_corrected
no_edge_attrs,8,7,weighted,0.8379184448000292,0.8799302889715159,0.7624446902654868,0.726290832455216,0.8023864959254947,0.7323050815128124,0.35000000000000003,v2_corrected
no_edge_attrs,8,17,weighted,0.8386427009388926,0.8818443604866201,0.7628976209569633,0.7118982289847843,0.8217679239850274,0.721477599250631,0.30000000000000004,v2_corrected
no_edge_attrs,8,99,weighted,0.8318522984555132,0.8779813799524596,0.7615051434759069,0.7177851492727737,0.8108965119631018,0.7220928183157684,0.30000000000000004,v2_corrected
with_iw_attrs,8,42,weighted,0.8436068381695263,0.8812494515149751,0.7604619769011549,0.7826489657301636,0.7394982497082847,0.7556116410668532,0.45,v2_corrected
with_iw_attrs,8,123,weighted,0.8489213388589998,0.8888735457919835,0.7723599888548343,0.7443609022556391,0.802547770700637,0.7454637380508096,0.35000000000000003,v2_corrected
with_iw_attrs,8,7,weighted,0.8467985462577073,0.8856254806922341,0.7685274968832249,0.7332804652392281,0.8073341094295693,0.7396553512037314,0.35000000000000003,v2_corrected
with_iw_attrs,8,17,weighted,0.849835733220816,0.8892253760702246,0.7751247807905032,0.7291878172588833,0.827238698531529,0.738643947494692,0.35000000000000003,v2_corrected
with_iw_attrs,8,99,weighted,0.8419852933867457,0.8840901977873645,0.7665159690826893,0.7756788665879575,0.7575670221965984,0.752788816138087,0.4,v2_corrected
