src,dst,score
0,0,78.0
1,0,70.0
3,0,72.0
4,0,69.0
5,0,79.0
6,0,70.0
7,0,72.0
8,0,72.0
9,0,71.0
10,0,68.0
11,0,73.0
12,0,67.0
13,0,73.0
14,0,83.0
15,0,66.0
16,0,59.0
17,0,82.0
18,0,60.0
19,0,67.0
20,0,73.0
21,0,75.0
22,0,74.0
23,0,62.0
24,0,63.0
25,0,84.0
26,0,80.0
27,0,76.0
28,0,85.0
29,0,67.0
30,0,57.0
31,0,66.0
32,0,80.0
33,0,81.0
34,0,66.0
35,0,74.0
36,0,76.0
37,0,72.0
38,0,73.0
39,0,75.0
40,0,69.0
41,0,85.0
42,0,63.0
43,0,87.0
45,0,72.0
46,0,72.0
47,0,77.0
48,0,45.0
49,0,65.0
50,0,61.0
51,0,75.0
52,0,52.0
53,0,77.0
54,0,52.0
55,0,68.0
56,0,54.0
57,0,75.0
58,0,82.0
59,0,85.0
60,0,79.0
61,0,65.0
62,0,82.0
63,0,60.0
64,0,76.0
65,0,60.0
66,0,60.0
67,0,83.0
68,0,85.0
69,0,76.0
70,0,51.0
71,0,61.0
72,0,76.0
73,0,57.0
74,0,67.0
75,0,65.0
76,0,74.0
77,0,85.0
78,0,88.0
79,0,76.0
80,0,76.0
81,0,75.0
83,0,69.0
84,0,68.0
85,0,75.0
86,0,67.0
87,0,84.0
88,0,63.0
89,0,58.0
90,0,71.0
91,0,64.0
92,0,81.0
93,0,80.0
94,0,65.0
95,0,85.0
96,0,83.0
97,0,82.0
98,0,74.0
99,0,85.0
100,0,51.0
101,0,66.0
102,0,60.0
103,0,77.0
104,0,84.0
105,0,71.0
106,0,58.0
107,0,58.0
108,0,55.0
109,0,60.0
110,0,81.0
111,0,64.0
112,0,51.0
113,0,80.0
114,0,70.0
115,0,79.0
116,0,70.0
117,0,63.0
119,0,61.0
120,0,55.0
121,0,69.0
122,0,78.0
123,0,75.0
124,0,85.0
127,0,72.0
128,0,61.0
129,0,38.0
130,0,91.0
131,0,77.0
132,0,82.0
133,0,58.0
134,0,64.0
135,0,75.0
137,0,73.0
138,0,81.0
139,0,72.0
140,0,82.0
141,0,47.0
142,0,55.0
143,0,88.0
144,0,89.0
145,0,70.0
146,0,77.0
147,0,82.0
148,0,85.0
149,0,58.0
150,0,38.0
151,0,84.0
152,0,69.0
153,0,72.0
154,0,77.0
155,0,57.0
156,0,36.0
157,0,86.0
158,0,71.0
159,0,68.0
160,0,64.0
161,0,75.0
162,0,68.0
163,0,62.0
164,0,74.0
165,0,61.0
166,0,70.0
167,0,75.0
168,0,85.0
170,0,75.0
172,0,49.0
173,0,64.0
174,0,64.0
175,0,68.0
176,0,88.0
177,0,54.0
178,0,61.0
179,0,58.0
180,0,86.0
181,0,86.0
182,0,73.0
183,0,74.0
184,0,59.0
185,0,67.0
186,0,65.0
187,0,51.0
188,0,75.0
189,0,53.0
190,0,65.0
191,0,68.0
192,0,63.0
193,0,54.0
194,0,55.0
195,0,80.0
196,0,52.0
197,0,85.0
199,0,81.0
200,0,67.0
201,0,80.0
202,0,59.0
203,0,54.0
204,0,74.0
205,0,39.0
206,0,91.0
207,0,86.0
208,0,74.0
210,0,73.0
211,0,77.0
212,0,73.0
213,0,59.0
214,0,82.0
215,0,77.0
216,0,64.0
217,0,85.0
218,0,71.0
219,0,75.0
221,0,85.0
222,0,88.0
223,0,61.0
224,0,78.0
225,0,67.0
226,0,81.0
227,0,0.0
228,0,83.0
229,0,80.0
230,0,64.0
231,0,63.0
232,0,78.0
233,0,62.0
234,0,82.0
235,0,76.0
236,0,59.0
237,0,73.0
238,0,90.0
239,0,66.0
240,0,45.0
241,0,77.0
242,0,58.0
244,0,85.0
245,0,61.0
246,0,67.0
247,0,78.0
248,0,84.0
249,0,85.0
250,0,82.0
251,0,83.0
252,0,68.0
253,0,80.0
254,0,83.0
255,0,65.0
257,0,57.0
258,0,79.0
259,0,72.0
260,0,83.0
261,0,57.0
262,0,72.0
263,0,72.0
264,0,76.0
265,0,82.0
266,0,50.0
267,0,78.0
268,0,75.0
269,0,79.0
270,0,75.0
271,0,62.0
272,0,56.0
273,0,30.0
274,0,60.0
275,0,88.0
276,0,72.0
277,0,65.0
278,0,80.0
279,0,86.0
280,0,65.0
281,0,50.0
282,0,68.0
284,0,61.0
285,0,76.0
286,0,70.0
287,0,71.0
288,0,65.0
289,0,64.0
290,0,75.0
291,0,73.0
292,0,73.0
293,0,71.0
294,0,80.0
295,0,60.0
296,0,72.0
297,0,11.0
300,0,56.0
301,0,76.0
302,0,70.0
303,0,67.0
304,0,56.0
305,0,68.0
306,0,90.0
308,0,63.0
309,0,50.0
310,0,64.0
311,0,75.0
312,0,55.0
313,0,77.0
314,0,86.0
315,0,80.0
316,0,51.0
317,0,67.0
318,0,66.0
319,0,40.0
320,0,60.0
321,0,88.0
322,0,85.0
323,0,62.0
326,0,77.0
327,0,82.0
328,0,63.0
329,0,70.0
330,0,74.0
331,0,82.0
332,0,74.0
333,0,63.0
334,0,58.0
335,0,71.0
336,0,69.0
337,0,72.0
339,0,62.0
340,0,77.0
341,0,62.0
342,0,94.0
343,0,75.0
344,0,54.0
345,0,70.0
346,0,87.0
347,0,86.0
349,0,63.0
350,0,66.0
351,0,64.0
352,0,75.0
353,0,75.0
354,0,87.0
355,0,66.0
356,0,80.0
357,0,64.0
358,0,70.0
359,0,68.0
360,0,67.0
362,0,67.0
363,0,76.0
364,0,66.0
365,0,78.0
366,0,49.0
367,0,87.0
368,0,75.0
369,0,83.0
370,0,48.0
371,0,76.0
372,0,67.0
373,0,59.0
374,0,46.0
375,0,83.0
376,0,74.0
377,0,70.0
378,0,86.0
379,0,86.0
381,0,89.0
382,0,58.0
225,1,68.0
226,1,83.0
228,1,61.0
229,1,80.0
230,1,73.0
231,1,63.0
232,1,78.0
233,1,77.0
234,1,62.0
235,1,68.0
236,1,58.0
237,1,65.0
238,1,85.0
239,1,65.0
240,1,25.0
241,1,68.0
242,1,60.0
244,1,76.0
245,1,54.0
246,1,64.0
247,1,77.0
248,1,83.0
250,1,85.0
251,1,86.0
253,1,78.0
254,1,87.0
255,1,57.0
257,1,63.0
258,1,76.0
259,1,74.0
260,1,60.0
261,1,72.0
262,1,69.0
263,1,69.0
264,1,67.0
265,1,50.0
266,1,50.0
267,1,90.0
268,1,76.0
269,1,71.0
270,1,76.0
271,1,71.0
272,1,55.0
273,1,40.0
274,1,53.0
275,1,64.0
276,1,64.0
277,1,60.0
278,1,69.0
279,1,80.0
280,1,62.0
281,1,56.0
282,1,60.0
284,1,67.0
285,1,64.0
287,1,67.0
288,1,63.0
289,1,61.0
290,1,75.0
291,1,57.0
292,1,76.0
293,1,38.0
294,1,79.0
295,1,50.0
296,1,59.0
297,1,51.0
300,1,54.0
301,1,74.0
302,1,67.0
303,1,45.0
304,1,60.0
306,1,85.0
308,1,85.0
309,1,50.0
310,1,72.0
311,1,74.0
312,1,57.0
313,1,83.0
314,1,72.0
315,1,77.0
317,1,77.0
318,1,60.0
319,1,34.0
320,1,60.0
321,1,86.0
322,1,86.0
323,1,50.0
324,1,51.0
325,1,67.0
326,1,83.0
327,1,72.0
328,1,50.0
329,1,67.0
330,1,76.0
331,1,75.0
332,1,75.0
333,1,50.0
334,1,64.0
335,1,80.0
336,1,72.0
337,1,72.0
339,1,59.0
340,1,54.0
341,1,45.0
342,1,75.0
343,1,72.0
344,1,64.0
345,1,62.0
346,1,55.0
347,1,57.0
349,1,72.0
350,1,71.0
352,1,84.0
353,1,65.0
354,1,73.0
355,1,66.0
356,1,75.0
357,1,72.0
358,1,70.0
359,1,70.0
360,1,53.0
362,1,68.0
363,1,78.0
364,1,59.0
365,1,81.0
366,1,64.0
367,1,81.0
368,1,82.0
369,1,84.0
370,1,58.0
371,1,76.0
372,1,68.0
373,1,69.0
374,1,36.0
375,1,80.0
376,1,77.0
377,1,62.0
378,1,78.0
379,1,85.0
380,1,57.0
381,1,74.0
382,1,64.0
0,1,85.0
1,1,68.0
3,1,71.0
4,1,30.0
5,1,69.0
6,1,65.0
7,1,72.0
8,1,68.0
9,1,80.0
10,1,76.0
11,1,74.0
12,1,71.0
13,1,85.0
14,1,42.0
15,1,68.0
16,1,60.0
17,1,86.0
18,1,18.0
19,1,66.0
20,1,76.0
21,1,74.0
23,1,59.0
24,1,68.0
25,1,64.0
26,1,86.0
27,1,70.0
28,1,78.0
29,1,66.0
30,1,51.0
31,1,61.0
33,1,77.0
34,1,76.0
35,1,79.0
36,1,66.0
37,1,77.0
38,1,63.0
39,1,72.0
40,1,66.0
41,1,82.0
42,1,65.0
43,1,83.0
45,1,51.0
46,1,81.0
47,1,74.0
49,1,76.0
50,1,64.0
51,1,37.0
52,1,53.0
53,1,72.0
55,1,70.0
56,1,48.0
57,1,66.0
58,1,79.0
59,1,75.0
60,1,81.0
61,1,68.0
62,1,58.0
63,1,58.0
64,1,79.0
65,1,67.0
66,1,54.0
67,1,79.0
68,1,74.0
69,1,73.0
70,1,28.0
71,1,59.0
73,1,53.0
74,1,33.0
75,1,62.0
77,1,81.0
78,1,90.0
80,1,85.0
81,1,66.0
83,1,58.0
84,1,70.0
85,1,59.0
86,1,63.0
87,1,83.0
88,1,67.0
89,1,68.0
90,1,45.0
91,1,68.0
92,1,76.0
93,1,62.0
95,1,84.0
96,1,73.0
97,1,81.0
98,1,54.0
99,1,66.0
100,1,55.0
101,1,75.0
102,1,56.0
103,1,79.0
104,1,75.0
105,1,75.0
106,1,57.0
107,1,65.0
108,1,60.0
109,1,79.0
110,1,80.0
111,1,78.0
113,1,62.0
114,1,65.0
115,1,82.0
116,1,72.0
117,1,57.0
119,1,53.0
120,1,73.0
121,1,70.0
122,1,69.0
123,1,74.0
124,1,84.0
126,1,55.0
127,1,82.0
128,1,53.0
129,1,52.0
130,1,95.0
131,1,70.0
132,1,80.0
133,1,59.0
135,1,76.0
137,1,46.0
138,1,78.0
139,1,73.0
140,1,76.0
141,1,52.0
