id_student,code_module,code_presentation,final_result,target
11391,AAA,2013J,Pass,0
28400,AAA,2013J,Pass,0
30268,AAA,2013J,Withdrawn,1
31604,AAA,2013J,Pass,0
32885,AAA,2013J,Pass,0
38053,AAA,2013J,Pass,0
45462,AAA,2013J,Pass,0
45642,AAA,2013J,Pass,0
52130,AAA,2013J,Pass,0
53025,AAA,2013J,Pass,0
57506,AAA,2013J,Pass,0
58873,AAA,2013J,Pass,0
59185,AAA,2013J,Pass,0
62155,AAA,2013J,Pass,0
63400,AAA,2013J,Pass,0
65002,AAA,2013J,Withdrawn,1
70464,AAA,2013J,Pass,0
71361,AAA,2013J,Pass,0
74372,AAA,2013J,Fail,1
75091,AAA,2013J,Pass,0
77367,AAA,2013J,Pass,0
91265,AAA,2013J,Pass,0
94961,AAA,2013J,Withdrawn,1
98094,AAA,2013J,Pass,0
100893,AAA,2013J,Pass,0
101781,AAA,2013J,Pass,0
102806,AAA,2013J,Pass,0
102952,AAA,2013J,Pass,0
104476,AAA,2013J,Pass,0
106247,AAA,2013J,Withdrawn,1
106577,AAA,2013J,Pass,0
110175,AAA,2013J,Pass,0
111717,AAA,2013J,Pass,0
113295,AAA,2013J,Pass,0
114017,AAA,2013J,Pass,0
114999,AAA,2013J,Pass,0
116541,AAA,2013J,Pass,0
116692,AAA,2013J,Pass,0
118983,AAA,2013J,Pass,0
123044,AAA,2013J,Pass,0
127582,AAA,2013J,Pass,0
129955,AAA,2013J,Withdrawn,1
132976,AAA,2013J,Pass,0
134143,AAA,2013J,Distinction,0
135335,AAA,2013J,Withdrawn,1
135400,AAA,2013J,Withdrawn,1
137873,AAA,2013J,Pass,0
141355,AAA,2013J,Pass,0
141377,AAA,2013J,Withdrawn,1
142326,AAA,2013J,Pass,0
144801,AAA,2013J,Pass,0
145130,AAA,2013J,Pass,0
146188,AAA,2013J,Fail,1
147756,AAA,2013J,Fail,1
147793,AAA,2013J,Withdrawn,1
148993,AAA,2013J,Withdrawn,1
151358,AAA,2013J,Pass,0
155550,AAA,2013J,Pass,0
155854,AAA,2013J,Pass,0
155984,AAA,2013J,Withdrawn,1
157568,AAA,2013J,Pass,0
159954,AAA,2013J,Withdrawn,1
164259,AAA,2013J,Pass,0
167906,AAA,2013J,Pass,0
168936,AAA,2013J,Pass,0
172112,AAA,2013J,Pass,0
172797,AAA,2013J,Pass,0
174782,AAA,2013J,Pass,0
175392,AAA,2013J,Pass,0
175932,AAA,2013J,Pass,0
175991,AAA,2013J,Fail,1
180753,AAA,2013J,Pass,0
181316,AAA,2013J,Withdrawn,1
183096,AAA,2013J,Pass,0
183947,AAA,2013J,Pass,0
184271,AAA,2013J,Pass,0
185439,AAA,2013J,Fail,1
186149,AAA,2013J,Pass,0
187100,AAA,2013J,Distinction,0
188278,AAA,2013J,Withdrawn,1
189879,AAA,2013J,Pass,0
192183,AAA,2013J,Pass,0
195262,AAA,2013J,Withdrawn,1
200860,AAA,2013J,Pass,0
202635,AAA,2013J,Withdrawn,1
205350,AAA,2013J,Pass,0
205719,AAA,2013J,Fail,1
227499,AAA,2013J,Distinction,0
227517,AAA,2013J,Fail,1
228082,AAA,2013J,Pass,0
228222,AAA,2013J,Pass,0
229179,AAA,2013J,Pass,0
229361,AAA,2013J,Pass,0
231554,AAA,2013J,Pass,0
235507,AAA,2013J,Withdrawn,1
236284,AAA,2013J,Pass,0
238007,AAA,2013J,Pass,0
240712,AAA,2013J,Pass,0
240884,AAA,2013J,Pass,0
241649,AAA,2013J,Pass,0
241729,AAA,2013J,Fail,1
242793,AAA,2013J,Pass,0
246834,AAA,2013J,Pass,0
248270,AAA,2013J,Pass,0
255548,AAA,2013J,Pass,0
256815,AAA,2013J,Pass,0
258392,AAA,2013J,Pass,0
258894,AAA,2013J,Pass,0
260355,AAA,2013J,Withdrawn,1
262011,AAA,2013J,Pass,0
262934,AAA,2013J,Pass,0
268073,AAA,2013J,Fail,1
268733,AAA,2013J,Withdrawn,1
271251,AAA,2013J,Pass,0
277880,AAA,2013J,Withdrawn,1
279572,AAA,2013J,Distinction,0
281022,AAA,2013J,Pass,0
281250,AAA,2013J,Fail,1
281589,AAA,2013J,Fail,1
282821,AAA,2013J,Pass,0
286488,AAA,2013J,Pass,0
287548,AAA,2013J,Pass,0
290201,AAA,2013J,Pass,0
290757,AAA,2013J,Pass,0
291334,AAA,2013J,Distinction,0
292923,AAA,2013J,Withdrawn,1
293699,AAA,2013J,Pass,0
294570,AAA,2013J,Pass,0
294594,AAA,2013J,Pass,0
295741,AAA,2013J,Fail,1
296332,AAA,2013J,Distinction,0
298696,AAA,2013J,Pass,0
300398,AAA,2013J,Pass,0
302302,AAA,2013J,Fail,1
305152,AAA,2013J,Fail,1
305386,AAA,2013J,Pass,0
305539,AAA,2013J,Withdrawn,1
306107,AAA,2013J,Pass,0
306466,AAA,2013J,Pass,0
306897,AAA,2013J,Pass,0
307061,AAA,2013J,Pass,0
307866,AAA,2013J,Pass,0
311917,AAA,2013J,Pass,0
