id_assessment,code_module,code_presentation,assessment_type,weight,date,node_idx
1752,AAA,2013J,TMA,10.0,19.0,0
1753,AAA,2013J,TMA,20.0,54.0,1
1758,AAA,2014J,TMA,10.0,19.0,2
1759,AAA,2014J,TMA,20.0,54.0,3
14991,BBB,2013B,CMA,1.0,54.0,4
14984,BBB,2013B,TMA,5.0,19.0,5
14985,BBB,2013B,TMA,18.0,47.0,6
15003,BBB,2013J,CMA,1.0,54.0,7
14996,BBB,2013J,TMA,5.0,19.0,8
14997,BBB,2013J,TMA,18.0,47.0,9
15015,BBB,2014B,CMA,1.0,47.0,10
15008,BBB,2014B,TMA,5.0,12.0,11
15009,BBB,2014B,TMA,18.0,40.0,12
15020,BBB,2014J,TMA,0.0,19.0,13
15021,BBB,2014J,TMA,10.0,54.0,14
24286,CCC,2014B,CMA,2.0,18.0,15
24282,CCC,2014B,TMA,9.0,32.0,16
24295,CCC,2014J,CMA,2.0,18.0,17
24291,CCC,2014J,TMA,9.0,32.0,18
25341,DDD,2013B,CMA,2.0,23.0,19
25342,DDD,2013B,CMA,3.0,51.0,20
25334,DDD,2013B,TMA,7.5,25.0,21
25335,DDD,2013B,TMA,10.0,53.0,22
25348,DDD,2013J,TMA,10.0,25.0,23
25349,DDD,2013J,TMA,12.5,53.0,24
25355,DDD,2014B,TMA,10.0,25.0,25
25356,DDD,2014B,TMA,12.5,53.0,26
25362,DDD,2014J,TMA,5.0,20.0,27
25363,DDD,2014J,TMA,10.0,41.0,28
30709,EEE,2013J,TMA,16.0,33.0,29
30714,EEE,2014B,TMA,16.0,33.0,30
30719,EEE,2014J,TMA,16.0,33.0,31
34860,FFF,2013B,TMA,12.5,19.0,32
34861,FFF,2013B,TMA,12.5,47.0,33
34873,FFF,2013J,TMA,12.5,19.0,34
34874,FFF,2013J,TMA,12.5,47.0,35
34886,FFF,2014B,TMA,12.5,24.0,36
34887,FFF,2014B,TMA,12.5,52.0,37
34899,FFF,2014J,TMA,12.5,24.0,38
34900,FFF,2014J,TMA,12.5,52.0,39
