id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,node_idx
11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,0
28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,1
30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,2
31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,3
32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,4
38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,5
45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,6
45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,7
52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,8
53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,9
57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,10
58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,11
59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,12
62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,13
63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,14
65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,15
70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,16
71361,M,Ireland,HE Qualification,,35-55,0,60,N,17
74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,18
75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,19
77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,20
91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,21
94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,22
98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,23
100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,24
101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,25
102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,26
102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,27
104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,28
106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,29
106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,30
110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,31
111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,32
113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,33
114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,34
114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,35
116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,36
116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,37
118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,38
123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,39
127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,40
129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,41
132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,42
