id_site,code_module,code_presentation,activity_type,week_from,week_to,node_idx
546943,AAA,2013J,resource,,,0
546712,AAA,2013J,oucontent,,,1
546998,AAA,2013J,resource,,,2
546888,AAA,2013J,url,,,3
547035,AAA,2013J,resource,,,4
546614,AAA,2013J,homepage,,,5
546897,AAA,2013J,url,,,6
546678,AAA,2013J,oucontent,,,7
546933,AAA,2013J,resource,,,8
546708,AAA,2013J,oucontent,,,9
546995,AAA,2013J,resource,,,10
546884,AAA,2013J,url,,,11
547031,AAA,2013J,resource,,,12
546891,AAA,2013J,url,,,13
546675,AAA,2013J,oucontent,,,14
546927,AAA,2013J,resource,,,15
546705,AAA,2013J,oucontent,,,16
546991,AAA,2013J,resource,,,17
546876,AAA,2013J,subpage,,,18
547027,AAA,2013J,resource,,,19
546671,AAA,2013J,oucontent,,,20
546923,AAA,2013J,resource,,,21
546702,AAA,2013J,oucontent,,,22
546988,AAA,2013J,resource,,,23
546872,AAA,2013J,subpage,,,24
547024,AAA,2013J,resource,,,25
546668,AAA,2013J,oucontent,,,26
546920,AAA,2013J,resource,,,27
546699,AAA,2013J,oucontent,,,28
546985,AAA,2013J,resource,,,29
546739,AAA,2013J,oucontent,,,30
547021,AAA,2013J,resource,,,31
546665,AAA,2013J,oucontent,,,32
546917,AAA,2013J,resource,,,33
546695,AAA,2013J,oucontent,,,34
546982,AAA,2013J,resource,,,35
546736,AAA,2013J,oucontent,,,36
547018,AAA,2013J,resource,,,37
546661,AAA,2013J,glossary,,,38
546692,AAA,2013J,oucontent,,,39
546972,AAA,2013J,resource,,,40
546733,AAA,2013J,oucontent,,,41
547014,AAA,2013J,resource,,,42
546658,AAA,2013J,forumng,,,43
546914,AAA,2013J,resource,,,44
546689,AAA,2013J,oucontent,,,45
546968,AAA,2013J,resource,,,46
546728,AAA,2013J,oucontent,,,47
547011,AAA,2013J,resource,,,48
547066,AAA,2013J,oucollaborate,,,49
546655,AAA,2013J,forumng,,,50
546910,AAA,2013J,resource,,,51
546686,AAA,2013J,oucontent,,,52
546961,AAA,2013J,resource,,,53
546723,AAA,2013J,oucontent,,,54
547007,AAA,2013J,resource,,,55
547048,AAA,2013J,dataplus,,,56
546652,AAA,2013J,forumng,,,57
546906,AAA,2013J,resource,,,58
546954,AAA,2013J,resource,,,59
546717,AAA,2013J,oucontent,,,60
547004,AAA,2013J,resource,,,61
547042,AAA,2013J,resource,,,62
546649,AAA,2013J,forumng,,,63
546903,AAA,2013J,url,,,64
546683,AAA,2013J,oucontent,,,65
546948,AAA,2013J,resource,,,66
546714,AAA,2013J,oucontent,,,67
547001,AAA,2013J,resource,,,68
547037,AAA,2013J,resource,,,69
