held_out_module,held_out_presentation,n_test,at_risk_rate,n_assessments,mean_clicks_per_student,student_overlap_rate,gnn_auroc_mean,gnn_auroc_std,lgbm_auroc,auroc_delta,dist_shift
AAA,2013J,383,0.2741514360313316,2,746.4569190600522,0.09399477806788512,0.7243302500856459,0.04471522478090886,0.8020726276121959,-0.07774237752655,0.624436765909195
AAA,2014J,365,0.30684931506849317,2,812.7698630136987,0.09863013698630137,0.7594226425748165,0.008906120294533307,0.7754446640316205,-0.01602202145680398,0.6206900477409363
BBB,2013B,1767,0.545557441992077,3,358.8353140916808,0.05149971703452179,0.823000366881456,0.017401595890301557,0.8739329433710723,-0.050932576489616355,0.6301456391811371
BBB,2013J,2237,0.5207867679928475,3,270.2525704067948,0.06258381761287439,0.8361102748062264,0.013686641451046946,0.875516863109346,-0.039406588303119605,0.6319632530212402
BBB,2014B,1613,0.5492870427774333,3,251.97210167389957,0.07067575945443273,0.8500097807558195,0.006197140030543112,0.8638029752127703,-0.01379319445695082,0.6295967698097229
BBB,2014J,2292,0.4973821989528796,2,251.74301919720767,0.03534031413612566,0.8538252314814814,0.005610398993047215,0.8013424403021442,0.052482791179337185,0.6305479407310486
CCC,2014B,1936,0.6575413223140496,2,755.7970041322315,0.09452479338842976,0.7591862075665967,0.009668622949554563,0.8898671680890617,-0.13068096052246503,0.6282406449317932
CCC,2014J,2498,0.5936749399519615,2,803.9707766212971,0.0732586068855084,0.75418280744995,0.005833607817690711,0.8646861474377925,-0.11050333998784245,0.6274240016937256
DDD,2013B,1303,0.6085955487336915,4,576.9447429009977,0.10897927858787414,0.7737331553049971,0.03487349294884936,0.880602329204065,-0.10686917389906792,0.6279993057250977
DDD,2013J,1938,0.5722394220846233,2,505.1790505675955,0.13725490196078433,0.8415683284368164,0.0035537884816616173,0.890873117306477,-0.04930478886966061,0.6280982494354248
DDD,2014B,1228,0.6099348534201955,2,483.5488599348534,0.16856677524429967,0.8401570918496757,0.002442548540502135,0.8887451884349628,-0.048588096585287066,0.6275845170021057
DDD,2014J,1803,0.5607321131447587,2,446.0310593455352,0.1209095951192457,0.7839170638132062,0.01179347144316518,0.872978049535913,-0.08906098572270671,0.6287141740322113
EEE,2013J,1052,0.4211026615969582,1,739.7186311787073,0.049429657794676805,0.8039571958619207,0.022481220477129107,0.8498259738237943,-0.04586877796187361,0.6199378073215485
EEE,2014B,694,0.48559077809798273,1,739.0763688760807,0.06051873198847262,0.7692026365442319,0.012370655668259475,0.846536834318297,-0.07733419777406503,0.6191250383853912
EEE,2014J,1188,0.42424242424242425,1,619.7685185185185,0.046296296296296294,0.7736290958878678,0.015222503490541134,0.8668169265756984,-0.09318783068783065,0.6199230551719666
FFF,2013B,1614,0.5154894671623296,2,1027.5309789343246,0.07063197026022305,0.8100752508361204,0.005026799534830982,0.8368712190143615,-0.026795968178241036,0.622663676738739
FFF,2013J,2283,0.5203679369250985,2,935.4095488392466,0.09505037231712658,0.8649370416493705,0.004698733622963651,0.8562919914518088,0.008645050197561677,0.6229791343212128
FFF,2014B,1500,0.564,2,876.068,0.122,0.8476370182401805,0.004377676131401325,0.8596552584206303,-0.012018240180449835,0.6241249442100525
FFF,2014J,2365,0.5276955602536998,2,886.1344608879492,0.0854122621564482,0.8741414732685995,0.009330919063243133,0.8979025348346072,-0.02376106156600777,0.6257845163345337
GGG,2013J,952,0.37815126050420167,0,111.9327731092437,0.0063025210084033615,0.6655489864864865,0.008209787364627399,0.631590183933934,0.03395880255255257,0.6275910437107086
GGG,2014B,833,0.4261704681872749,0,116.9279711884754,0.007202881152460984,0.6768312805704519,0.01583576139946812,0.6552301255230125,0.021601155047439424,0.6290305256843567
GGG,2014J,749,0.40720961281708945,0,145.4913217623498,0.00801068090787717,0.6603928518682617,0.010770299078438761,0.6641448825875055,-0.003752030719243793,0.6343596577644348
