held_out_module,held_out_presentation,gnn_auroc,lgbm_auroc,auroc_delta,gnn_f1,lgbm_f1,f1_delta,n_test
GGG,2013J,0.7048001126126127,0.6408502252252253,0.06394988738738738,0.5993945509586277,0.5460122699386503,0.05338228101997744,952
AAA,2013J,0.8334361082562523,0.7730900993490921,0.06034600890716013,0.5644171779141104,0.5910652920962199,-0.02664811418210955,383
GGG,2014J,0.7121473932949343,0.6606778910057598,0.05146950228917446,0.6034912718204489,0.5826170009551098,0.020874270865339106,749
AAA,2014J,0.8020539243365331,0.7541643139469225,0.04788961038961059,0.5968586387434555,0.577922077922078,0.018936560821377513,365
BBB,2014J,0.8233659234892786,0.7788815028021443,0.04448442068713432,0.7299593646102697,0.717100633356791,0.012858731253478695,2292
FFF,2013J,0.8912611656903895,0.8477318850606522,0.043529280629737266,0.8113207547169812,0.7533333333333333,0.057987421383647875,2283
FFF,2013B,0.872737556561086,0.8368220354613416,0.035915521099744385,0.786046511627907,0.7008797653958945,0.08516674623201248,1614
DDD,2013B,0.899535148233316,0.8667581534505354,0.03277699478278062,0.8206185567010309,0.7888730385164051,0.03174551818462579,1303
FFF,2014B,0.8880936372640451,0.8570426760940132,0.03105096117003192,0.8201438848920863,0.7706919945725916,0.04945189031949471,1500
DDD,2013J,0.9012265040609728,0.8759769013477839,0.02524960271318888,0.8016235413495687,0.8248003757632691,-0.023176834413700442,1938
BBB,2013B,0.8856931734212472,0.8619576226081653,0.023735550813081874,0.8205383848454636,0.801,0.019538384845463552,1767
DDD,2014B,0.9002650715916279,0.8773841809956768,0.02288089059595111,0.8571428571428571,0.8403593642017968,0.016783492941060296,1228
EEE,2013J,0.8835525803689577,0.860790178918925,0.02276240145003272,0.758703481392557,0.7605633802816901,-0.0018598988891330714,1052
GGG,2014B,0.7092698450114914,0.6869084801697212,0.022361364841770204,0.6338028169014085,0.5998300764655905,0.033972740435817994,833
FFF,2014J,0.904331083717834,0.8902699108188141,0.01406117289901987,0.8304195804195804,0.8028738212842389,0.02754575913534152,2365
BBB,2014B,0.8799357885617942,0.869654351194339,0.010281437367455237,0.8074608904933814,0.7874213836477988,0.020039506845582644,1613
CCC,2014B,0.8824477280186351,0.8764897825708324,0.005957945447802704,0.7469879518072289,0.8624708624708625,-0.11548291066363359,1936
BBB,2013J,0.8727812119659214,0.8703558388315931,0.0024253731343283347,0.7507629704984741,0.7867924528301887,-0.03602948233171466,2237
DDD,2014J,0.8571671212620768,0.869671617260638,-0.012504495998561183,0.7334905660377359,0.7868131868131868,-0.05332262077545091,1803
EEE,2014B,0.8315171766035792,0.8453980998927761,-0.01388092328919699,0.7384615384615385,0.7585139318885449,-0.020052393427006376,694
EEE,2014J,0.8197287199480182,0.8612372946254526,-0.04150857467743441,0.7006960556844548,0.7634615384615384,-0.0627654827770836,1188
CCC,2014J,0.8107377868719045,0.8666864862530684,-0.05594869938116398,0.7244936950706916,0.8132183908045977,-0.08872469573390607,2498
