fold_idx,held_out_module,held_out_presentation,n_train,n_test
0,AAA,2013J,32210,383
1,AAA,2014J,32228,365
2,BBB,2013B,30826,1767
3,BBB,2013J,30356,2237
4,BBB,2014B,30980,1613
5,BBB,2014J,30301,2292
6,CCC,2014B,30657,1936
7,CCC,2014J,30095,2498
8,DDD,2013B,31290,1303
9,DDD,2013J,30655,1938
10,DDD,2014B,31365,1228
11,DDD,2014J,30790,1803
12,EEE,2013J,31541,1052
13,EEE,2014B,31899,694
14,EEE,2014J,31405,1188
15,FFF,2013B,30979,1614
16,FFF,2013J,30310,2283
17,FFF,2014B,31093,1500
18,FFF,2014J,30228,2365
19,GGG,2013J,31641,952
20,GGG,2014B,31760,833
21,GGG,2014J,31844,749
