week,fold_idx,held_out_module,held_out_presentation,model_seed,n_train,n_test,best_val_auroc,best_epoch,auroc,auprc,f1,precision,recall,balanced_acc,pipeline_version
8,0,AAA,2013J,42,29021,383,0.8487956012921598,199,0.6525179856115109,0.5155537454750188,0.4157303370786517,0.5068493150684932,0.3523809523809524,0.6114422747516273,v2_corrected
8,0,AAA,2013J,123,29021,383,0.843678632424693,199,0.7266187050359713,0.5878835510028434,0.4429530201342282,0.75,0.3142857142857143,0.6373586844809866,v2_corrected
8,0,AAA,2013J,7,29021,383,0.8450544119213186,187,0.7747858855772525,0.6457089509636189,0.45714285714285713,0.9142857142857143,0.3047619047619048,0.6469852689277149,v2_corrected
8,0,AAA,2013J,17,29021,383,0.8462298198628164,166,0.7265159301130525,0.5905397984318237,0.40816326530612246,0.7142857142857143,0.2857142857142857,0.6212744090441933,v2_corrected
8,0,AAA,2013J,99,29021,383,0.8412315750860848,189,0.7412127440904419,0.5922220440527943,0.44155844155844154,0.6938775510204082,0.3238095238095238,0.6349263446385749,v2_corrected
8,1,AAA,2014J,42,29008,365,0.8282729423561068,198,0.7579757199322417,0.6641592815309558,0.5507246376811594,0.6,0.5089285714285714,0.6793654714850367,v2_corrected
8,1,AAA,2014J,123,29008,365,0.8319827438140318,197,0.7609048560135516,0.6841201067237774,0.5882352941176471,0.7333333333333333,0.49107142857142855,0.7060100225861096,v2_corrected
8,1,AAA,2014J,7,29008,365,0.8344128765313086,199,0.7530702992659515,0.651407516983414,0.5306122448979592,0.6190476190476191,0.4642857142857143,0.6689017504234895,v2_corrected
8,1,AAA,2014J,17,29008,365,0.834451947433003,194,0.7513410502540938,0.6638109707880492,0.5560975609756098,0.6129032258064516,0.5089285714285714,0.6833180406549972,v2_corrected
8,1,AAA,2014J,99,29008,365,0.8327958827780106,199,0.7738212874082439,0.6835940547083738,0.5423728813559322,0.7384615384615385,0.42857142857142855,0.6806888763410502,v2_corrected
8,2,BBB,2013B,42,27754,1767,0.8455675962474114,194,0.8238594378962707,0.8818100138156371,0.7395033860045147,0.6546762589928058,0.8495850622406639,0.6558012484304191,v2_corrected
