Course_Presentation,AUROC_mean,AUROC_std,N_folds
GGG/2013J,0.6265517959365616,0.01710794851479798,16
GGG/2014B,0.6405389975838294,0.017895733394800432,16
GGG/2014J,0.6652428555604786,0.014401175361695958,16
AAA/2014J,0.7072617430124224,0.04310015196873065,16
AAA/2013J,0.7276004196642686,0.039224368009841075,16
BBB/2014J,0.7620718734770955,0.0359277062620715,16
FFF/2013B,0.7948811929009689,0.034175048674531465,16
EEE/2014B,0.8092082159273205,0.03958519065710836,16
FFF/2014B,0.8100482189074688,0.03350163796325005,16
EEE/2013J,0.8157421410223621,0.04134422735320014,16
FFF/2013J,0.8170037273419123,0.030347081461691246,16
CCC/2014J,0.8186331170341041,0.048457121385243135,16
DDD/2014B,0.8202011171471496,0.05579616613267754,16
BBB/2013B,0.8204880686016649,0.0356581187856074,16
BBB/2014B,0.8229906853825828,0.03275276944033553,16
DDD/2013J,0.8266061971303982,0.053103531040760585,16
DDD/2013B,0.8267891693247286,0.05281212988969472,16
DDD/2014J,0.82759406628101,0.04077598889288283,16
BBB/2013J,0.8288378637258984,0.03053682357800588,16
EEE/2014J,0.8348352072310405,0.037812387219224426,16
FFF/2014J,0.843221334080814,0.03416770905904545,16
CCC/2014B,0.8501263775194047,0.046048847847647886,16
