threshold,precision,recall,f1,fpr,fnr,tp,fp,tn,fn,total_flagged,flagged_rate
0.1,0.5718887758562224,0.9799535153980244,0.7222698072805139,0.8206044848878778,0.020046484601975594,3373,2525,552,69,5898,0.9047399907961344
0.15000000000000002,0.6075248985614164,0.9570017431725741,0.7432310469314078,0.6915827104322392,0.04299825682742592,3294,2128,949,148,5422,0.83172265684921
0.20000000000000004,0.6439241017359709,0.926786751888437,0.7598856598380181,0.5732856678583036,0.07321324811156305,3190,1764,1313,252,4954,0.7599325049854272
0.25000000000000006,0.6779921087242438,0.8986054619407321,0.7728635682158921,0.4774130646733832,0.10139453805926786,3093,1469,1608,349,4562,0.6998005829114895
0.30000000000000004,0.7111269614835949,0.86897152818129,0.7821652719665272,0.3948651283717907,0.13102847181871005,2991,1215,1862,451,4206,0.6451909802116889
0.3500000000000001,0.7433264887063655,0.8413712957582801,0.789315889888253,0.3249918752031199,0.15862870424171993,2896,1000,2077,546,3896,0.5976376744899524
0.40000000000000013,0.7709420488876683,0.815514235909355,0.7926020048002259,0.271043223919402,0.18448576409064496,2807,834,2243,635,3641,0.5585212455898144
0.4500000000000001,0.7987570287067179,0.784137129575828,0.7913795631139129,0.22099447513812154,0.215862870424172,2699,680,2397,743,3379,0.5183310323669275
0.5000000000000001,0.8195369489375198,0.7507263219058686,0.7836239575435937,0.18492037699057523,0.2492736780941313,2584,569,2508,858,3153,0.48366313851817766
0.5500000000000002,0.8440460081190798,0.7248692620569437,0.7799312285089091,0.14982125446863828,0.27513073794305637,2495,461,2616,947,2956,0.45344377972081606
0.6000000000000002,0.8705712219812003,0.6995932597327136,0.7757731958762887,0.11634709132271694,0.3004067402672865,2408,358,2719,1034,2766,0.42429820524620343
0.6500000000000001,0.8866615265998458,0.6682161533991865,0.7620941020543407,0.09554761130971726,0.3317838466008135,2300,294,2783,1142,2594,0.3979137904586593
0.7000000000000002,0.9058481957693902,0.6345148169668797,0.7462839569451563,0.07377315567110822,0.3654851830331203,2184,227,2850,1258,2411,0.36984200030679554
0.7500000000000002,0.9240337627721013,0.6042998256827425,0.7307219392236078,0.055573610659733506,0.3957001743172574,2080,171,2906,1362,2251,0.3452983586439638
0.8000000000000003,0.9370229007633588,0.5705984892504358,0.7092813289996388,0.04289892752681183,0.42940151074956423,1964,132,2945,1478,2096,0.3215217057830956
0.8500000000000003,0.9509550851832731,0.5351539802440441,0.6848856664807584,0.03087422814429639,0.46484601975595585,1842,95,2982,1600,1937,0.29713146188065653
