dataset,week,model,split_type,fold_or_seed,feature_set,auroc,auprc,f1,precision,recall,balanced_acc,best_threshold,held_out_module,held_out_presentation
zenodo,8,LightGBM,random_student,42,vle_only,0.6506743642064401,0.46812192825255095,0.5081809432146295,0.3492063492063492,0.9328621908127208,0.5333325038570647,0.1,,
zenodo,8,LightGBM,random_student,123,vle_only,0.6213612712698635,0.4619724187089956,0.5255972696245734,0.39827586206896554,0.7725752508361204,0.5672748283431059,0.2,,
zenodo,8,LightGBM,random_student,7,vle_only,0.638301649485777,0.4755650788472192,0.5298759864712514,0.39166666666666666,0.818815331010453,0.5942090471977999,0.21000000000000002,,
zenodo,8,LightGBM,random_student,17,vle_only,0.6725231411695083,0.5307089981301241,0.5705824284304047,0.41763005780346824,0.9003115264797508,0.5890446521287642,0.14,,
zenodo,8,LightGBM,random_student,99,vle_only,0.6477739130434782,0.4598705691501479,0.5434782608695652,0.4032258064516129,0.8333333333333334,0.5949275362318841,0.21000000000000002,,
zenodo,8,LightGBM,lcpo,0,vle_only,0.6220660849567099,0.4176327484055382,0.4793650793650794,0.37192118226600984,0.6741071428571429,0.5955762987012987,0.38,Accountancy,1819
zenodo,8,LightGBM,lcpo,1,vle_only,0.6347035565785566,0.4541166646751677,0.4858569051580699,0.38726790450928383,0.6517857142857143,0.585768117018117,0.33999999999999997,Accountancy,1920
zenodo,8,LightGBM,lcpo,2,vle_only,0.5830639564613924,0.40467847136257606,0.2828282828282828,0.5185185185185185,0.19444444444444445,0.5587606837606838,0.36,Accountancy,2021
zenodo,8,LightGBM,lcpo,3,vle_only,0.5612256164887743,0.5085230848864017,0.6133333333333333,0.44413793103448274,0.9907692307692307,0.5133271991166728,0.31,Global economics,1819
zenodo,8,LightGBM,lcpo,4,vle_only,0.6348295626645541,0.32759238537233015,0.3522727272727273,0.33513513513513515,0.3712574850299401,0.5659789370674992,0.4,Global economics,1920
zenodo,8,LightGBM,lcpo,5,vle_only,0.6056914912561884,0.5572825268993955,0.4827586206896552,0.5979899497487438,0.40476190476190477,0.5976689104961357,0.37,Global economics,2021
