dataset,week,fold_idx,held_out_module,held_out_presentation,model_seed,n_train,n_test,best_val_auroc,best_epoch,pipeline_version,auroc,auprc,f1,precision,recall,balanced_acc
zenodo,8,0,Accountancy,1819,42,3172,752,0.6298826777087646,196,v2_corrected,0.5144074675324675,0.33386333603191887,0.3525046382189239,0.30158730158730157,0.42410714285714285,0.5037202380952381
zenodo,8,0,Accountancy,1819,123,3172,752,0.6349206349206349,177,v2_corrected,0.5222115124458874,0.3441400234269442,0.34375,0.3055555555555556,0.39285714285714285,0.5070346320346321
zenodo,8,0,Accountancy,1819,7,3172,752,0.5555383022774327,3,v2_corrected,0.4772262242965368,0.28877054991672385,0.0,0.0,0.0,0.5
zenodo,8,0,Accountancy,1819,17,3172,752,0.6360938578329882,197,v2_corrected,0.524908685064935,0.3440717607967083,0.33067729083665337,0.29856115107913667,0.3705357142857143,0.5006087662337663
zenodo,8,0,Accountancy,1819,99,3172,752,0.6314699792960663,166,v2_corrected,0.5237418831168831,0.3418570030950575,0.3203285420944558,0.2965779467680608,0.3482142857142857,0.4989177489177489
zenodo,8,1,Accountancy,1920,42,3209,705,0.6116182572614108,88,v2_corrected,0.4591717404217404,0.2960314937517765,0.0,0.0,0.0,0.5
zenodo,8,1,Accountancy,1920,123,3209,705,0.6133112033195021,29,v2_corrected,0.48116368428868433,0.3050115211908128,0.0,0.0,0.0,0.5
zenodo,8,1,Accountancy,1920,7,3209,705,0.6096929460580912,102,v2_corrected,0.5131701069201069,0.328517810234212,0.0,0.0,0.0,0.5
zenodo,8,1,Accountancy,1920,17,3209,705,0.6025892116182573,30,v2_corrected,0.48689486189486186,0.3083065802361772,0.0,0.0,0.0,0.5
zenodo,8,1,Accountancy,1920,99,3209,705,0.6021576763485477,60,v2_corrected,0.4759383353133353,0.3111146702998815,0.0,0.0,0.0,0.5
zenodo,8,2,Accountancy,2021,42,3208,723,0.6013620071684588,162,v2_corrected,0.4754547446855139,0.2872587319868375,0.0,0.0,0.0,0.5
zenodo,8,2,Accountancy,2021,123,3208,723,0.6056989247311828,137,v2_corrected,0.4886222514427642,0.28076781996684225,0.0,0.0,0.0,0.4940828402366864
zenodo,8,2,Accountancy,2021,7,3208,723,0.6020788530465949,156,v2_corrected,0.48264573745342976,0.29061920401532776,0.0,0.0,0.0,0.5
zenodo,8,2,Accountancy,2021,17,3208,723,0.5899283154121864,131,v2_corrected,0.4533932354445175,0.264783445937504,0.0,0.0,0.0,0.5
zenodo,8,2,Accountancy,2021,99,3208,723,0.6027598566308243,160,v2_corrected,0.5147289794725692,0.30571227578459803,0.0,0.0,0.0,0.5
zenodo,8,3,Global economics,1819,42,3183,743,0.5641343669250646,175,v2_corrected,0.47288553551711443,0.4279787371372702,0.16377171215880892,0.4230769230769231,0.10153846153846154,0.49694147957305856
zenodo,8,3,Global economics,1819,123,3183,743,0.6073040482342807,194,v2_corrected,0.5117556128082443,0.442330590499463,0.46715328467153283,0.4444444444444444,0.49230769230769234,0.5069193963930806
zenodo,8,3,Global economics,1819,7,3183,743,0.5842204995693367,199,v2_corrected,0.5083253588516746,0.4472036157986389,0.5631929046563193,0.44020797227036396,0.7815384615384615,0.5044055944055944
zenodo,8,3,Global economics,1819,17,3183,743,0.598897502153316,198,v2_corrected,0.5102245123297755,0.4441780697483073,0.6033300685602351,0.4425287356321839,0.9476923076923077,0.5097313213102687
zenodo,8,3,Global economics,1819,99,3183,743,0.6046167097329889,199,v2_corrected,0.5120942215679057,0.44581704923354304,0.5933400605449042,0.44144144144144143,0.9046153846153846,0.5073316157526684
zenodo,8,4,Global economics,1920,42,3250,681,0.6038054968287526,1,v2_corrected,0.48569980661245604,0.25199593124504904,0.3938679245283019,0.24522760646108663,1.0,0.5
zenodo,8,4,Global economics,1920,123,3250,681,0.6143410852713178,0,v2_corrected,0.5507234558121111,0.29457974868802533,0.3938679245283019,0.24522760646108663,1.0,0.5
zenodo,8,4,Global economics,1920,7,3250,681,0.6045806906272022,13,v2_corrected,0.5054754304620331,0.2610945093691043,0.3938679245283019,0.24522760646108663,1.0,0.5
zenodo,8,4,Global economics,1920,17,3250,681,0.6251233262861169,0,v2_corrected,0.5626529043081153,0.2948862956260256,0.3947990543735225,0.24594992636229748,1.0,0.5019455252918288
zenodo,8,4,Global economics,1920,99,3250,681,0.6004933051444679,3,v2_corrected,0.4703977259488804,0.24189946076925706,0.3938679245283019,0.24522760646108663,1.0,0.5
zenodo,8,5,Global economics,2021,42,3249,676,0.6047633403678022,78,v2_corrected,0.4878370196246038,0.44167989927146584,0.2367758186397985,0.4563106796116505,0.1598639455782313,0.5066335434697439
zenodo,8,5,Global economics,2021,123,3249,676,0.6293714199577932,185,v2_corrected,0.5402108487374007,0.4705302711171458,0.4819672131147541,0.4651898734177215,0.5,0.5287958115183247
zenodo,8,5,Global economics,2021,7,3249,676,0.5934579439252337,9,v2_corrected,0.43654948890550976,0.3967337994273007,0.6061855670103092,0.4349112426035503,1.0,0.5
zenodo,8,5,Global economics,2021,17,3249,676,0.6112074163400664,197,v2_corrected,0.5340848381237311,0.45520874659641264,0.5085271317829457,0.4672364672364672,0.5578231292517006,0.5341471667200912
zenodo,8,5,Global economics,2021,99,3249,676,0.5902924329213144,80,v2_corrected,0.47640417423513903,0.44945700499797403,0.42780748663101603,0.449438202247191,0.40816326530612246,0.5116732556897104
